Time,C,F,P,m,gamma,nu,sigma,Brain
0.0,18.0,135.0,0.0,25.0,1.0,1.0,1.0,1.0
0.15,17.991226061194354,135.63260637047114,0.1389719966176913,25.0,1.0,1.0,1.0,1.0
0.3,18.119868215132218,136.08738926497284,0.13944851736081093,25.0,1.0,1.0,1.0,1.0
0.44999999999999996,18.248420252294924,136.52156916736232,0.1399422105165779,25.0,1.0,1.0,1.0,1.0
0.6,18.376879465665056,136.9351129619043,0.14045311545271108,25.0,1.0,1.0,1.0,1.0
0.75,18.505242948153693,137.32798657545047,0.1409813409777856,25.0,1.0,1.0,1.0,1.0
0.8999999999999999,18.63350836013515,137.70016294312578,0.141526973696779,25.0,1.0,1.0,1.0,1.0
1.05,18.761673055806128,138.0516120670006,0.14209013201380316,25.0,1.0,1.0,1.0,1.0
1.2,18.889734295619842,138.38230335919357,0.14267094367617558,25.0,1.0,1.0,1.0,1.0
1.3499999999999999,19.017689289295173,138.69220627792316,0.14326955367806776,25.0,1.0,1.0,1.0,1.0
1.5,19.14553474772848,138.98128562421738,0.14388614681354667,25.0,1.0,1.0,1.0,1.0
1.65,19.273269157443824,139.24952548802676,0.14452082388587414,25.0,1.0,1.0,1.0,1.0
1.7999999999999998,19.40088886773788,139.49688878020567,0.14517389100580078,25.0,1.0,1.0,1.0,1.0
1.95,19.528391410828775,139.72334965831578,0.14584547658697475,25.0,1.0,1.0,1.0,1.0
2.1,19.655773184949243,139.9288705553928,0.14653571882356647,25.0,1.0,1.0,1.0,1.0
2.25,19.783031066156965,140.113421585804,0.1472449384531886,25.0,1.0,1.0,1.0,1.0
2.4,19.910161588722023,140.27697050248042,0.14797352113220022,25.0,1.0,1.0,1.0,1.0
2.55,20.03716181784704,140.41948768010164,0.14872153175850467,25.0,1.0,1.0,1.0,1.0
2.6999999999999997,20.164028669371614,140.54094283169567,0.14948912570457204,25.0,1.0,1.0,1.0,1.0
2.85,20.29075848469563,140.64130737298441,0.15027702295628323,25.0,1.0,1.0,1.0,1.0
3.0,20.41734802956376,140.72055126936965,0.15108549630783952,25.0,1.0,1.0,1.0,1.0
3.15,20.543794253193827,140.77864402559436,0.15191446101836564,25.0,1.0,1.0,1.0,1.0
3.3,20.6700936878493,140.81555560673772,0.15276432913300864,25.0,1.0,1.0,1.0,1.0
3.4499999999999997,20.79624240858289,140.8312552784424,0.15363577643382334,25.0,1.0,1.0,1.0,1.0
3.5999999999999996,20.922236911032158,140.82571237035884,0.15452911487638027,25.0,1.0,1.0,1.0,1.0
3.75,21.048073504069915,140.798895712365,0.15544472565423728,25.0,1.0,1.0,1.0,1.0
3.9,21.173748371634385,140.75077388579368,0.15638303828028025,25.0,1.0,1.0,1.0,1.0
