Time,aRel,a,b,k1,k2,k3,k4,Brain,Loss_of_intracellular_choline,Abeta_formation_from_APP,Effect_of_extracellular_ACh,Decrease_in_the_extracellular_concentration_of_beta_amyloid
0.0,1.0,50.0,0.0,0.007,0.28,0.0042,0.01,1.0,0.0,0.28,0.21,0.0
0.15,0.9999944902743023,49.999724513715115,0.010492187588542255,0.007,0.28,0.0042,0.01,1.0,0.0036722454228133358,0.28,0.20999884295760346,0.00010492187588542255
0.3,0.9999779719911279,49.9988985995564,0.02096899268968209,0.007,0.28,0.0042,0.01,1.0,0.007338985774583781,0.28,0.20999537411813685,0.00020968992689682092
0.44999999999999996,0.99995046174349,49.9975230871745,0.031430787699352356,0.007,0.28,0.0042,0.01,1.0,0.011000230735525147,0.28,0.2099895969661329,0.00031430787699352354
0.6,0.9999119759835119,49.995598799175596,0.04187794015154463,0.007,0.28,0.0042,0.01,1.0,0.014655988860467586,0.28,0.2099815149565375,0.00041877940151544636
0.75,0.9998625311829895,49.993126559149474,0.05231081807239205,0.007,0.28,0.0042,0.01,1.0,0.018306269438140173,0.28,0.20997113154842778,0.0005231081807239205
0.8999999999999999,0.9998021437518251,49.990107187591256,0.06272978725681708,0.007,0.28,0.0042,0.01,1.0,0.021951081521761572,0.28,0.20995845018788326,0.0006272978725681708
1.05,0.9997308300379758,49.98654150189879,0.07313521126253097,0.007,0.28,0.0042,0.01,1.0,0.025590433911172484,0.28,0.20994347430797491,0.0007313521126253098
1.2,0.9996486064729802,49.982430323649005,0.08352745630157227,0.007,0.28,0.0042,0.01,1.0,0.02922433685293481,0.28,0.20992620735932582,0.0008352745630157227
1.3499999999999999,0.9995554893242654,49.97777446621327,0.09390688306430581,0.007,0.28,0.0042,0.01,1.0,0.03285279915829057,0.28,0.20990665275809572,0.0009390688306430581
1.5,0.9994514949692416,49.97257474846208,0.1042738557110471,0.007,0.28,0.0042,0.01,1.0,0.03647583134181455,0.28,0.20988481394354072,0.001042738557110471
1.65,0.9993366396059861,49.966831980299304,0.11462873252426951,0.007,0.28,0.0042,0.01,1.0,0.040093442327083915,0.28,0.20986069431725707,0.0011462873252426951
1.7999999999999998,0.9992109395033889,49.96054697516944,0.12497187390760238,0.007,0.28,0.0042,0.01,1.0,0.04370564223855005,0.28,0.20983429729571165,0.0012497187390760238
1.95,0.9990744109368791,49.953720546843954,0.13530364033730446,0.007,0.28,0.0042,0.01,1.0,0.04731244166866273,0.28,0.2098056262967446,0.0013530364033730448
2.1,0.9989270698729109,49.946353493645546,0.14562438170418127,0.007,0.28,0.0042,0.01,1.0,0.05091384792123425,0.28,0.20977468467331128,0.0014562438170418128
2.25,0.9987689323518764,49.93844661759382,0.15593445056804284,0.007,0.28,0.0042,0.01,1.0,0.05450986964875221,0.28,0.20974147579389402,0.0015593445056804284
2.4,0.9986000147609865,49.93000073804932,0.1662342112882129,0.007,0.28,0.0042,0.01,1.0,0.05810052004616662,0.28,0.20970600309980714,0.001662342112882129
2.55,0.9984203333167951,49.92101666583976,0.17652402239336346,0.007,0.28,0.0042,0.01,1.0,0.061685810646741175,0.28,0.20966826999652696,0.0017652402239336346
2.6999999999999997,0.9982299042358562,49.91149521179281,0.18680424241216656,0.007,0.28,0.0042,0.01,1.0,0.06526575335488204,0.28,0.20962827988952978,0.0018680424241216656
2.85,0.998028743148947,49.90143715744735,0.1970752097698975,0.007,0.28,0.0042,0.01,1.0,0.06884035336936306,0.28,0.20958603606127885,0.0019707520976989753
3.0,0.9978168657133979,49.890843285669895,0.2073372638031393,0.007,0.28,0.0042,0.01,1.0,0.07240961654977414,0.28,0.20954154179981355,0.002073372638031393
3.15,0.9975942884841724,49.87971442420862,0.21759077465449334,0.007,0.28,0.0042,0.01,1.0,0.07597355990775921,0.28,0.2094948005816762,0.0021759077465449334
3.3,0.9973610275545756,49.868051377728776,0.22783609662283777,0.007,0.28,0.0042,0.01,1.0,0.07953219520462196,0.28,0.20944581578646085,0.002278360966228378
3.4499999999999997,0.9971170990179126,49.855854950895626,0.2380735840070509,0.007,0.28,0.0042,0.01,1.0,0.08308553450326775,0.28,0.2093945907937616,0.002380735840070509
3.5999999999999996,0.9968625183428154,49.84312591714077,0.24830356990297886,0.007,0.28,0.0042,0.01,1.0,0.08663358270244818,0.28,0.20934112885199122,0.0024830356990297887
3.75,0.9965973007884139,49.829865039420696,0.25852638029544506,0.007,0.28,0.0042,0.01,1.0,0.09017634247476383,0.28,0.20928543316556691,0.0025852638029544507
3.9,0.9963214629195839,49.816073145979196,0.26874238548964346,0.007,0.28,0.0042,0.01,1.0,0.09371383233083912,0.28,0.20922750721311262,0.002687423854896435
4.05,0.9960350206773918,49.80175103386959,0.2789519346170618,0.007,0.28,0.0042,0.01,1.0,0.09724606358750627,0.28,0.20916735434225228,0.002789519346170618
4.2,0.9957379900029033,49.78689950014517,0.2891553768091877,0.007,0.28,0.0042,0.01,1.0,0.10077304779587944,0.28,0.2091049779006097,0.002891553768091877
4.35,0.9954303863039523,49.771519315197615,0.299353042702716,0.007,0.28,0.0042,0.01,1.0,0.10429479022858985,0.28,0.20904038112382997,0.00299353042702716
4.5,0.9951122245410849,49.755611227054246,0.3095452474205058,0.007,0.28,0.0042,0.01,1.0,0.10781129091485904,0.28,0.20897356715362783,0.0030954524742050583
4.6499999999999995,0.9947835211825452,49.73917605912726,0.319732358378835,0.007,0.28,0.0042,0.01,1.0,0.11132256845643394,0.28,0.20890453944833448,0.0031973235837883503
4.8,0.9944442920158627,49.72221460079314,0.32991471938389105,0.007,0.28,0.0042,0.01,1.0,0.11482863334016395,0.28,0.20883330132333117,0.0032991471938389107
4.95,0.9940945528285675,49.70472764142838,0.34009267424186135,0.007,0.28,0.0042,0.01,1.0,0.11832949622225719,0.28,0.20875985609399916,0.0034009267424186134
5.1,0.993734318846522,49.686715942326096,0.35026654529113077,0.007,0.28,0.0042,0.01,1.0,0.1218251603798622,0.28,0.2086842069577696,0.0035026654529113077
5.25,0.993363604447017,49.66818022235085,0.3604366224363652,0.007,0.28,0.0042,0.01,1.0,0.1253156178533337,0.28,0.20860635693387355,0.003604366224363652
5.3999999999999995,0.9929824261749031,49.64912130874515,0.37060327842972773,0.007,0.28,0.0042,0.01,1.0,0.12880088989723346,0.28,0.20852630949672962,0.0037060327842972775
5.55,0.9925907996413514,49.62953998206757,0.3807668503367143,0.007,0.28,0.0042,0.01,1.0,0.1322809853584233,0.28,0.20844406792468378,0.0038076685033671433
5.7,0.9921887404611351,49.609437023056756,0.3909276753604839,0.007,0.28,0.0042,0.01,1.0,0.13575591323956132,0.28,0.20835963549683836,0.003909276753604839
5.85,0.9917762642526293,49.588813212631464,0.40108609084185876,0.007,0.28,0.0042,0.01,1.0,0.1392256826865903,0.28,0.20827301549305213,0.0040108609084185875
6.0,0.9913533866378103,49.567669331890514,0.4112424342593244,0.007,0.28,0.0042,0.01,1.0,0.1426903029762554,0.28,0.20818421119394015,0.004112424342593244
6.1499999999999995,0.9909201232422562,49.54600616211281,0.4213970432290295,0.007,0.28,0.0042,0.01,1.0,0.14614978350365132,0.28,0.20809322588087378,0.004213970432290295
6.3,0.9904764896951471,49.523824484757355,0.43155025550478593,0.007,0.28,0.0042,0.01,1.0,0.14960413376979848,0.28,0.20800006283598088,0.00431550255504786
6.45,0.9900225016292645,49.50112508146323,0.4417024089780689,0.007,0.28,0.0042,0.01,1.0,0.1530533633692491,0.28,0.20790472534214555,0.004417024089780689
6.6,0.9895581713937273,49.47790856968636,0.451853695828951,0.007,0.28,0.0042,0.01,1.0,0.15649743094369797,0.28,0.2078072159926827,0.00451853695828951
6.75,0.9890835165385344,49.45417582692672,0.46200453896757226,0.007,0.28,0.0042,0.01,1.0,0.15993637592058377,0.28,0.20770753847309223,0.004620045389675723
6.8999999999999995,0.9885985525467988,49.42992762733994,0.4721552695784906,0.007,0.28,0.0042,0.01,1.0,0.1633702056289238,0.28,0.20760569603482776,0.004721552695784906
7.05,0.9881032948367191,49.405164741835954,0.48230621594404166,0.007,0.28,0.0042,0.01,1.0,0.1667989263830882,0.28,0.207501691915711,0.004823062159440417
7.199999999999999,0.9875977588176158,49.37988794088079,0.492457705930509,0.007,0.28,0.0042,0.01,1.0,0.17022254434130232,0.28,0.2073955293516993,0.004924577059305091
7.35,0.9870819598899313,49.35409799449656,0.5026100669881243,0.007,0.28,0.0042,0.01,1.0,0.17364106549406658,0.28,0.20728721157688554,0.005026100669881243
7.5,0.9865559134452289,49.327795672261445,0.5127636261510665,0.007,0.28,0.0042,0.01,1.0,0.17705449565263365,0.28,0.20717674182349805,0.005127636261510665
7.6499999999999995,0.9860196348661944,49.30098174330972,0.5229187100374632,0.007,0.28,0.0042,0.01,1.0,0.1804628404375443,0.28,0.2070641233219008,0.005229187100374632
7.8,0.9854731395266346,49.27365697633173,0.5330756448493893,0.007,0.28,0.0042,0.01,1.0,0.18386610526721953,0.28,0.20694935930059324,0.005330756448493893
7.949999999999999,0.9849164418444046,49.24582209222023,0.5432346862478038,0.007,0.28,0.0042,0.01,1.0,0.18726427099297696,0.28,0.20683245278732496,0.005432346862478038
8.1,0.9843495571443464,49.21747785721732,0.5533961572918827,0.007,0.28,0.0042,0.01,1.0,0.19065734182447674,0.28,0.2067134070003127,0.005533961572918827
8.25,0.9837725010932908,49.18862505466454,0.5635604066043775,0.007,0.28,0.0042,0.01,1.0,0.19404533075281913,0.28,0.20659222522959106,0.005635604066043774
8.4,0.9831852889276071,49.159264446380355,0.5737277511762441,0.007,0.28,0.0042,0.01,1.0,0.19742823968210063,0.28,0.20646891067479747,0.005737277511762441
8.549999999999999,0.9825879358684716,49.12939679342358,0.5838985071148921,0.007,0.28,0.0042,0.01,1.0,0.20080607010194637,0.28,0.20634346653237903,0.0058389850711489215
8.7,0.981980457121869,49.09902285609345,0.594072989644185,0.007,0.28,0.0042,0.01,1.0,0.20417882307709323,0.28,0.20621589599559248,0.00594072989644185
8.85,0.9813628678785916,49.06814339392958,0.6042515131044395,0.007,0.28,0.0042,0.01,1.0,0.20754649923705287,0.28,0.20608620225450422,0.006042515131044395
9.0,0.9807351833142399,49.036759165712,0.6144343909524259,0.007,0.28,0.0042,0.01,1.0,0.21090909876585529,0.28,0.20595438849599038,0.006144343909524259
9.15,0.9800974185892223,49.00487092946111,0.6246219357613683,0.007,0.28,0.0042,0.01,1.0,0.21426662139187203,0.28,0.20582045790373665,0.0062462193576136825
9.299999999999999,0.9794495892650243,48.97247946325122,0.6348144495299417,0.007,0.28,0.0042,0.01,1.0,0.2176190631480614,0.28,0.2056844137456551,0.006348144495299417
9.45,0.9787917112626083,48.939585563130414,0.6450122246507843,0.007,0.28,0.0042,0.01,1.0,0.2209664167029351,0.28,0.20554625936514773,0.006450122246507844
9.6,0.9781237990773443,48.90618995386721,0.655215585467906,0.007,0.28,0.0042,0.01,1.0,0.2243086851853941,0.28,0.20540599780624227,0.006552155854679061
9.75,0.9774458679025325,48.872293395126626,0.6654248388398781,0.007,0.28,0.0042,0.01,1.0,0.22764586569331163,0.28,0.20526363225953181,0.006654248388398782
9.9,0.9767579329222026,48.83789664611013,0.6756402906038615,0.007,0.28,0.0042,0.01,1.0,0.23097795477721444,0.28,0.20511916591366253,0.0067564029060386156
10.049999999999999,0.9760600093111145,48.803000465555726,0.6858622455756072,0.007,0.28,0.0042,0.01,1.0,0.2343049484309342,0.28,0.20497260195533404,0.006858622455756072
10.2,0.9753521122347573,48.767605611737864,0.6960910075494562,0.007,0.28,0.0042,0.01,1.0,0.2376268420823439,0.28,0.204823943569299,0.006960910075494562
10.35,0.9746342568493499,48.731712842467495,0.7063268792983395,0.007,0.28,0.0042,0.01,1.0,0.24094363058418017,0.28,0.20467319393836347,0.007063268792983395
10.5,0.9739064583018413,48.69532291509206,0.716570162573778,0.007,0.28,0.0042,0.01,1.0,0.24425530820495098,0.28,0.20452035624338666,0.00716570162573778
10.65,0.9731687317299097,48.65843658649548,0.7268211581058825,0.007,0.28,0.0042,0.01,1.0,0.24756186861992804,0.28,0.20436543366328103,0.007268211581058825
10.799999999999999,0.9724210956792373,48.62105478396187,0.7370801740199701,0.007,0.28,0.0042,0.01,1.0,0.2508633086483798,0.28,0.20420843009263984,0.007370801740199701
