t33.time,t33.aRel,t33.a,t33.b,t33.k1,t33.k2,t33.k3,t33.k4,t33.Brain,t33.Loss_of_intracellular_choline,t33.Abeta_formation_from_APP,t33.Effect_of_extracellular_ACh,t33.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t28.aRel,t28.a,t28.b,t28.k1,t28.k2,t28.k3,t28.k4,t28.Brain,t28.Loss_of_intracellular_choline,t28.Abeta_formation_from_APP,t28.Effect_of_extracellular_ACh,t28.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t26.aRel,t26.a,t26.b,t26.k1,t26.k2,t26.k3,t26.k4,t26.Brain,t26.Loss_of_intracellular_choline,t26.Abeta_formation_from_APP,t26.Effect_of_extracellular_ACh,t26.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t24.aRel,t24.a,t24.b,t24.k1,t24.k2,t24.k3,t24.k4,t24.Brain,t24.Loss_of_intracellular_choline,t24.Abeta_formation_from_APP,t24.Effect_of_extracellular_ACh,t24.Decrease_in_the_extracellular_concentration_of_beta_amyloid,t22.aRel,t22.a,t22.b,t22.k1,t22.k2,t22.k3,t22.k4,t22.Brain,t22.Loss_of_intracellular_choline,t22.Abeta_formation_from_APP,t22.Effect_of_extracellular_ACh,t22.Decrease_in_the_extracellular_concentration_of_beta_amyloid
0.0,1.0,50.0,0.0,0.007,0.33,0.0042,0.01,1.0,0.0,0.33,0.21,0.0,1.0,50.0,0.0,0.007,0.28,0.0042,0.01,1.0,0.0,0.28,0.21,0.0,1.0,50.0,0.0,0.007,0.26,0.0042,0.01,1.0,0.0,0.26,0.21,0.0,1.0,50.0,0.0,0.007,0.24,0.0042,0.01,1.0,0.0,0.24,0.21,0.0,1.0,50.0,0.0,0.007,0.22,0.0042,0.01,1.0,0.0,0.22,0.21,0.0
0.15,0.9999905550248552,49.99952775124276,0.017986612700964986,0.007,0.33,0.0042,0.01,1.0,0.00629525498624928,0.33,0.20999801655521957,0.00017986612700964986,0.9999944902743023,49.999724513715115,0.010492187588542255,0.007,0.28,0.0042,0.01,1.0,0.0036722454228133358,0.28,0.20999884295760346,0.00010492187588542255,0.9999960645062843,49.99980322531422,0.00749442052094027,0.007,0.26,0.0042,0.01,1.0,0.002623036859343393,0.26,0.2099991735463197,7.49442052094027e-05,0.9999976387399547,49.99988193699774,0.004496653007999711,0.007,0.24,0.0042,0.01,1.0,0.001573824836581419,0.24,0.20999950413539048,4.496653007999711e-05,0.9999992129029343,49.999960645146714,0.0014988841853622033,0.007,0.22,0.0042,0.01,1.0,0.0005246090519582008,0.22,0.2099998347096162,1.4988841853622034e-05
0.3,0.9999622384740239,49.998111923701195,0.035946856036456656,0.007,0.33,0.0042,0.01,1.0,0.012580924519911538,0.33,0.209992070079545,0.0003594685603645666,0.9999779719911279,49.9988985995564,0.02096899268968209,0.007,0.28,0.0042,0.01,1.0,0.007338985774583781,0.28,0.20999537411813685,0.00020968992689682092,0.9999842657265045,49.99921328632522,0.014977854091848552,0.007,0.26,0.0042,0.01,1.0,0.005242166449168563,0.26,0.2099966958025659,0.00014977854091848553,0.9999905594684396,49.99952797342198,0.00898671374541319,0.007,0.24,0.0042,0.01,1.0,0.0031453201171204584,0.24,0.20999801748837232,8.98671374541319e-05,0.9999968531271941,49.999842656359704,0.002995570914411657,0.007,0.22,0.0042,0.01,1.0,0.001048446520705853,0.22,0.20999933915671073,2.995570914411657e-05
0.44999999999999996,0.9999150793948168,49.99575396974084,0.0538813640282403,0.007,0.33,0.0042,0.01,1.0,0.018856875936569626,0.33,0.2099821666729115,0.000538813640282403,0.99995046174349,49.9975230871745,0.031430787699352356,0.007,0.28,0.0042,0.01,1.0,0.011000230735525147,0.28,0.2099895969661329,0.00031430787699352354,0.999964615216362,49.9982307608181,0.0224505635849977,0.007,0.26,0.0042,0.01,1.0,0.007857419211831944,0.26,0.20999256919543602,0.000224505635849977,0.9999787691283224,49.99893845641612,0.013470340877771353,0.007,0.24,0.0042,0.01,1.0,0.004714519211742453,0.24,0.2099955415169477,0.00013470340877771354,0.9999929229400655,49.999646147003276,0.004490113049893929,0.007,0.22,0.0042,0.01,1.0,0.0015715284455831667,0.22,0.20999851381741375,4.490113049893929e-05
0.6,0.9998491083161382,49.99245541580691,0.07179076162736911,0.007,0.33,0.0042,0.01,1.0,0.025122975149461504,0.33,0.209968312746389,0.0007179076162736911,0.9999119759835119,49.995598799175596,0.04187794015154463,0.007,0.28,0.0042,0.01,1.0,0.014655988860467586,0.28,0.2099815149565375,0.00041877940151544636,0.9999371245514506,49.99685622757253,0.029912812193993214,0.007,0.26,0.0042,0.01,1.0,0.010468825994378199,0.26,0.20998679615580462,0.0002991281219399321,0.9999622744209293,49.998113721046465,0.017947691805162928,0.007,0.24,0.0042,0.01,1.0,0.006281455151333808,0.24,0.20999207762839514,0.0001794769180516293,0.9999874245414011,49.99937122707006,0.005982563014984002,0.007,0.22,0.0042,0.01,1.0,0.002093870723528672,0.22,0.20999735915369422,5.982563014984002e-05
0.75,0.9997643552140554,49.98821776070277,0.08967567734945081,0.007,0.33,0.0042,0.01,1.0,0.03137909101028008,0.33,0.20995051459495162,0.0008967567734945081,0.9998625311829895,49.993126559149474,0.05231081807239205,0.007,0.28,0.0042,0.01,1.0,0.018306269438140173,0.28,0.20997113154842778,0.0005231081807239205,0.9999018054821383,49.995090274106914,0.03736486573678548,0.007,0.26,0.0042,0.01,1.0,0.01307641884913332,0.26,0.20997937915124903,0.0003736486573678548,0.9999410822312743,49.99705411156371,0.02241892475545234,0.007,0.24,0.0042,0.01,1.0,0.007846161358849982,0.24,0.2099876272685676,0.0002241892475545234,0.999980360241571,49.99901801207855,0.00747297395065727,0.007,0.22,0.0042,0.01,1.0,0.0026154895141389466,0.22,0.2099958756507299,7.47297395065727e-05
0.8999999999999999,0.999660849097228,49.9830424548614,0.10753674811040795,0.007,0.33,0.0042,0.01,1.0,0.037625096923821794,0.33,0.20992877831041787,0.0010753674811040796,0.9998021437518251,49.990107187591256,0.06272978725681708,0.007,0.28,0.0042,0.01,1.0,0.021951081521761572,0.28,0.20995845018788326,0.0006272978725681708,0.9998586690161454,49.99293345080727,0.04480698142242272,0.007,0.26,0.0042,0.01,1.0,0.015680227082679157,0.26,0.20997032049339054,0.0004480698142242272,0.9999151991709208,49.99575995854604,0.026884196569602746,0.007,0.24,0.0042,0.01,1.0,0.00940867086860558,0.24,0.20998219182589334,0.00026884196569602745,0.9999717315698399,49.998586578491995,0.008961394822610987,0.007,0.22,0.0042,0.01,1.0,0.0031363995243165574,0.22,0.20999406362966636,8.961394822610988e-05
1.05,0.9995386191716821,49.976930958584106,0.12537460912431328,0.007,0.33,0.0042,0.01,1.0,0.04386086728915692,0.33,0.20990311002605322,0.0012537460912431329,0.9997308300379758,49.98654150189879,0.07313521126253097,0.007,0.28,0.0042,0.01,1.0,0.025590433911172484,0.28,0.20994347430797491,0.0007313521126253098,0.9998077266228141,49.990386331140705,0.0522394217561845,0.007,0.26,0.0042,0.01,1.0,0.01828028212714942,0.26,0.20995962259079096,0.000522394217561845,0.999884631690536,49.9942315845268,0.031343663265085475,0.007,0.24,0.0042,0.01,1.0,0.010969016519874761,0.24,0.20997577265501255,0.00031343663265085477,0.9999615408121627,49.99807704060814,0.010447878822136152,0.007,0.22,0.0042,0.01,1.0,0.003656616951820711,0.22,0.20999192357055416,0.00010447878822136152
1.2,0.9993977009107664,49.96988504553832,0.143189853983484,0.007,0.33,0.0042,0.01,1.0,0.050086263802694785,0.33,0.20987351719126093,0.00143189853983484,0.9996486064729802,49.982430323649005,0.08352745630157227,0.007,0.28,0.0042,0.01,1.0,0.02922433685293481,0.28,0.20992620735932582,0.0008352745630157227,0.9997489899396917,49.98744949698459,0.059662451173176374,0.007,0.26,0.0042,0.01,1.0,0.02087661635419824,0.26,0.20994728788733527,0.0005966245117317638,0.9998493865607325,49.99246932803663,0.03579748251854381,0.007,0.24,0.0042,0.01,1.0,0.012527231827804602,0.24,0.20996837117775383,0.0003579748251854381,0.9999497903042881,49.997489515214404,0.011932479488621122,0.007,0.22,0.0042,0.01,1.0,0.0041761581268599185,0.22,0.20998945596390048,0.00011932479488621123
1.3499999999999999,0.9992381234153896,49.96190617076948,0.16098311860008585,0.007,0.33,0.0042,0.01,1.0,0.05630116426602741,0.33,0.20984000591723181,0.0016098311860008585,0.9995554893242654,49.97777446621327,0.09390688306430581,0.007,0.28,0.0042,0.01,1.0,0.03285279915829057,0.28,0.20990665275809572,0.0009390688306430581,0.9996824695104981,49.9841234755249,0.06707632344839978,0.007,0.26,0.0042,0.01,1.0,0.02346925863470343,0.26,0.20993331859720457,0.0006707632344839979,0.9998094696779967,49.990473483899834,0.04024580781363657,0.007,0.24,0.0042,0.01,1.0,0.014083348918420094,0.24,0.2099599886323793,0.0004024580781363657,0.9999364824615496,49.99682412307748,0.013415250884917459,0.007,0.22,0.0042,0.01,1.0,0.004695039573421244,0.22,0.2099866613169254,0.0001341525088491746
