Time,soluble_obs,insoluble_obs,M,N,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,P,c_T,s_T,e_T,k_n,k_sol,k_insol,n_n,blocking,soluble,insoluble,R_T,a_T,I_net,C1
5.0,1.04389999999997,0.0,1.04389999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,0.0,1.04389999999997,0.0,86.03719409895362,86.03719409895362,5.201805901046384,1.0
5.025,1.5312085897927519,1.3726654140807695e-18,1.0691704876879597,0.07460808772854657,0.002013394147920771,3.641326178178148e-05,4.95124767075117e-07,5.393713083806653e-09,4.9014444665790664e-11,3.8212659967519077e-13,2.609417731272996e-15,1.5856276049242038e-17,9.100068191203667e-20,4.7600434210862525e-22,2.2900747569682466e-24,1.021357728706592e-26,4.252019853821528e-29,1.6625139570493535e-31,6.138660819873822e-34,2.151155939944377e-36,7.186393335897334e-39,2.2980924706361724e-41,7.060980692879214e-44,2.0916631285317114e-46,5.992599427158496e-49,1.6653103466467433e-51,4.5008450219854775e-54,1.186005435138541e-56,3.053994393578144e-59,7.701252381664009e-62,1.9055579943432052e-64,4.6349549266791584e-67,1.1101185694874188e-69,2.622277221387428e-72,6.117981383222074e-75,1.4117105202216806e-77,3.2257721028941775e-80,7.307547963979621e-83,1.6429244604185592e-85,3.6693529580169313e-88,8.148299222706329e-91,1.8004983765996522e-93,3.961632309183067e-96,8.685304403899947e-99,1.898311274627066e-101,4.138411377161108e-104,9.002611961447303e-107,1.9549314602693936e-109,4.238958744599584e-112,9.180521941185866e-115,1.9863402011656036e-117,4.303667994334266e-120,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,9.147898658516663e-20,1.5312085897927519,1.3726654140807695e-18,88.11996242368478,88.11996242368478,3.119037576315222,1.0
5.05,2.0008093777313607,1.3815306583677822e-15,1.0688877642561445,0.14579846988122644,0.007828221798186704,0.00028278914716990976,7.690852107756499e-06,1.6766274180418719e-07,3.0497311325095426e-09,4.759908592125301e-11,6.508436346115016e-13,7.919750138954352e-15,9.107250296098255e-17,9.55297842777516e-19,9.226254364433438e-21,8.271450976312032e-23,6.933157540036198e-25,5.468484190369294e-27,4.0823719295729137e-29,2.899788120244372e-31,1.9694141261404e-33,1.2846143584864234e-35,8.081331566072275e-38,4.9221745596416215e-40,2.9132592368105646e-42,1.6812763034651505e-44,9.49161514342679e-47,5.257790270673083e-49,2.865949131389636e-51,1.5413198331675381e-53,8.198712533013162e-56,4.323176881647645e-58,2.2643319397096726e-60,1.1801180333779856e-62,6.129381497217862e-65,3.176576733289229e-67,1.644334237820658e-69,8.508308608547783e-72,4.403127054069477e-74,2.2798566366229973e-76,1.1813563580564266e-78,6.126742574660774e-81,3.180275947433344e-83,1.6522360741737624e-85,8.590556272776196e-88,4.4696514997165574e-90,2.3269522231700916e-92,1.212052879075025e-94,6.315936491422441e-97,3.2923195250532143e-99,1.7166621863864653e-101,8.999800275481886e-104,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,9.203711047145963e-17,2.0008093777313607,1.3815306583677822e-15,88.09666064115828,88.09666064115828,3.142339358841724,1.0
5.075,2.4739095390074866,7.689143599782003e-14,1.0686048999590252,0.21306901528085642,0.017026465098709143,0.0009194585722500423,3.744578975984192e-05,1.223436924093581e-06,3.336661494334194e-08,7.81015963235085e-10,1.6017836015593238e-11,2.922859894219502e-13,5.040221533954729e-15,7.927018532765682e-17,1.1475791699013152e-18,1.5414211029459265e-20,1.9344140837193055e-22,2.2821279634478483e-24,2.5449141809826356e-26,2.695754654288697e-28,2.7244487571690384e-30,2.6375325178107853e-32,2.454725357338053e-34,2.203497913744999e-36,1.9134415636758524e-38,1.6116905949376475e-40,1.3200115597366275e-42,1.0535955765872891e-44,8.212110045521149e-47,6.262196358237551e-49,4.6797797773926915e-51,3.432593814158572e-53,2.4747465570665968e-55,1.7559425931736046e-57,1.2276451313796823e-59,8.466152526260823e-62,5.76471524537599e-64,3.879177413871854e-66,2.581843219897117e-68,1.700892608499135e-70,1.1098945857966016e-72,7.178281857150417e-75,4.60412067076094e-77,2.930172457040722e-79,1.8512884112687687e-81,1.161679830929728e-83,7.242888196867563e-86,4.4886672488772946e-88,2.766035567327379e-90,1.6954128518758425e-92,1.0339569176545091e-94,6.313828750719178e-97,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,5.1206549084125744e-15,2.4739095390074866,7.689143599782003e-14,88.07334724865429,88.07334724865429,3.1656527513457178,1.0
5.1,2.9505029713960984,1.3056474962299545e-12,1.0683226072074188,0.2766313205910426,0.029222190449232594,0.002095488481737843,0.00011352970693011405,4.938929807659293e-06,1.7943590196967213e-07,5.595773995113618e-09,1.528664462262766e-10,3.712305630336208e-12,8.510839671380647e-14,1.776940831760082e-15,3.408278519445083e-17,6.050864651491761e-19,1.0008380900382229e-20,1.5512614930211626e-22,2.2647384961747117e-24,3.1287462746708963e-26,4.107268230272627e-28,5.142892694599365e-30,6.163477161601943e-32,7.09199631775717e-34,7.857395183922182e-36,8.404150639350636e-38,8.698757345701713e-40,8.732251121570241e-42,8.51884655326643e-44,8.0915288369773e-46,7.49585664030837e-48,6.783288739436456e-50,6.005124833787509e-52,5.207777000510373e-54,4.42968604676707e-56,3.699856507896581e-58,3.037751663726339e-60,2.4541734419554055e-62,1.9527330261664638e-64,1.5315656723451084e-66,1.1850258069597855e-68,9.051898088920009e-71,6.830763805044053e-73,5.095588976939516e-75,3.759880273441812e-77,2.7456796939429106e-79,1.9853987940643836e-81,1.4222592240492541e-83,1.009811728440868e-85,7.109150108987021e-88,4.9645964497300045e-90,3.46417250963768e-92,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,8.692003558302965e-14,2.9505029713960984,1.3056474962299545e-12,88.05008096235991,88.05008096235991,3.1889190376400904,1.0
5.125,3.430583101540563,1.1654357879189436e-11,1.0680408405655446,0.33668555561091984,0.04406135563784418,0.003932143176261982,0.00026561897622289236,1.4420818049007438e-05,6.541836162013329e-07,2.548117254372717e-08,8.696048532486015e-10,2.637755458455803e-11,7.553954365523202e-13,1.9700648582317702e-14,4.719654438146656e-16,1.0463886599975208e-17,2.1609670905369997e-19,4.180875549313167e-21,7.616834134400151e-23,1.3127170598917363e-24,2.1491608525068583e-26,3.3551832091634175e-28,5.012086985615247e-30,7.187126864707604e-32,9.921863041824877e-34,1.3222035368953686e-35,1.7050830144742516e-37,2.132688247308295e-39,2.5927545366670433e-41,3.069706141433335e-43,3.5458494378118734e-45,4.002776563050617e-47,4.4227962392325685e-49,4.790222737577845e-51,5.092392592095248e-53,5.320330777906659e-55,5.469042497438707e-57,5.53745441134516e-59,5.528064353246368e-61,5.446379008676968e-63,5.300225378025179e-65,5.09901671869977e-67,4.853040672196429e-69,4.572820123380793e-71,4.268579207006853e-73,3.9498301469319503e-75,3.6250827662715996e-77,3.3016682111898896e-79,2.985661724010029e-81,2.6818857940492e-83,2.3939740854745545e-85,2.1433935331168437e-87,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,7.755787348201401e-13,3.430583101540563,1.1654357879189436e-11,88.02685803750357,88.02685803750357,3.212141962496432,1.0
5.15,3.914143366820846,6.904625989639375e-11,1.0677596057591654,0.3934210402626691,0.06121947356206718,0.0065260350822118444,0.0005275775814986176,3.431116472470003e-05,1.865496908408514e-06,8.711569176993469e-08,3.5648964646517498e-09,1.296298856901442e-10,4.450062207839513e-12,1.390936760101279e-13,3.992298590024259e-15,1.059930650396351e-16,2.6195311101205563e-18,6.060198693768134e-20,1.3189458773662273e-21,2.7125843433260434e-23,5.29309044802497e-25,9.835572802002975e-27,1.746266447577356e-28,2.971505601555686e-30,4.859868744707304e-32,7.659221078909691e-34,1.1660034240119219e-35,1.718440169484509e-37,2.4568625202342087e-39,3.414020700920124e-41,4.619100307586096e-43,6.094902054708497e-45,7.855174362359735e-47,9.902387442534672e-49,1.2226198163236802e-50,1.4802782986181692e-52,1.7595123581901782e-54,2.0554230454925476e-56,2.3621197754504574e-58,2.6729908488833403e-60,2.9810160738445707e-62,3.279096492793764e-64,3.560376848620058e-66,3.818539290746974e-68,4.048051298874045e-70,4.244356180439478e-72,4.404000103126196e-74,4.524694885742373e-76,4.605320268636645e-78,4.6458728605458394e-80,4.647371308219204e-82,4.657592876613785e-84,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,4.5932568569844126e-12,3.914143366820846,6.904625989639375e-11,88.00367894599688,88.00367894599688,3.2353210540031228,1.0
5.175,4.401177237750068,3.084545805932762e-10,1.0674788982764822,0.44701684619890997,0.08039944390403263,0.009951983182162403,0.0009359925967402666,7.088680212372174e-05,4.490604801290308e-06,2.4441364159666645e-07,1.1659133466893765e-08,4.941035356588421e-10,1.9767525271872288e-11,7.199207093323822e-13,2.4068300413007043e-14,7.439335191249045e-16,2.1391349598841594e-17,5.753315977620443e-19,1.4543559174178827e-20,3.470360551746084e-22,7.847418982950642e-24,1.6876001695086264e-25,3.462672409747634e-27,6.798991296753662e-29,1.2810262646798807e-30,2.3219328026318028e-32,4.058211106207603e-34,6.854155522807949e-36,1.1209365109555059e-37,1.7783924421625898e-39,2.741884109036306e-41,4.114803234962368e-43,6.019819590506441e-45,8.597344373898437e-47,1.2002261616614758e-48,1.6398864382102423e-50,2.195410341074035e-52,2.88294326464117e-54,3.7171697252306015e-56,4.710363547799866e-58,5.871464080656875e-60,7.205244642548416e-62,8.711634882438862e-64,1.0385248690611846e-65,1.2215154893335922e-67,1.4184910741577314e-69,1.627285989499625e-71,1.8452678899209643e-73,2.0694140535789721e-75,2.296405002496339e-77,2.5227301598797216e-79,2.7747100490547236e-81,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,2.0512280196716616e-11,4.401177237750068,3.084545805932762e-10,87.9805433159819,87.9805433159819,3.2584566840180997,1.0
5.2,4.891678200688929,1.1211167045865092e-09,1.0671987167295571,0.4976423504568982,0.10132953127323757,0.014265603514584436,0.0015289347024660183,0.00013208141000688216,9.549530995671694e-06,5.934018268481271e-07,3.2323680418410323e-08,1.5639757371529019e-09,7.143929550620067e-11,2.9703601039944846e-12,1.13351344674823e-13,3.9979572328514944e-15,1.3112276352084187e-16,4.020254616953531e-18,1.1577308127987679e-19,3.1446112514580666e-21,8.08683324107783e-23,1.975772990188553e-24,4.6005260608864083e-26,1.0238634428278446e-27,2.1837057855215372e-29,4.474348453759243e-31,8.827486160268729e-33,1.6804808405755178e-34,3.092953832923093e-36,5.513822486865869e-38,9.537063945358482e-40,1.603074119792039e-41,2.6225217387233427e-43,4.181377512257076e-45,6.506154376924404e-47,9.891644161498077e-49,1.4711374564047432e-50,2.142641908033652e-52,3.05914452555322e-54,4.285687172911799e-56,5.896609519781878e-58,7.974694945668133e-60,1.0609686270182126e-61,1.3896156691338593e-63,1.7930765484759828e-65,2.280897393886152e-67,2.8621340713065215e-69,3.544955346795229e-71,4.336238190911964e-73,5.241175383731294e-75,6.262915899600755e-77,7.489845617858473e-79,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,7.452714017412157e-11,4.891678200688929,1.1211167045865092e-09,87.95745103306616,87.95745103306616,3.2815489669338405,1.0
5.225,5.385639764205454,3.48087912538365e-09,1.066919059243898,0.5454577640081386,0.1237614837966208,0.019505654343575665,0.0023449177405763804,0.0002274457916980487,1.8473990995595552e-05,1.2900903039161987e-06,7.899106381532275e-08,4.295512699178591e-09,2.2054152000899856e-10,1.0307060036622134e-11,4.4207312223791377e-13,1.7521893042951902e-14,6.456449345772341e-16,2.223321258691887e-17,7.188068265379019e-19,2.1908547366410128e-20,6.318550897661897e-22,1.730154440444855e-23,4.511791755993671e-25,1.1236563105706387e-26,2.6795764228045e-28,6.1332539358027456e-30,1.3504463071936332e-31,2.866342308607068e-33,5.876055237821117e-35,1.1655718422566789e-36,2.2409194290053788e-38,4.182545601628875e-40,7.589861970084232e-42,1.3409694474431189e-43,2.309794122623784e-45,3.8836653239817224e-47,6.3817359175995025e-49,1.0260076195354693e-50,1.6156124893099272e-52,2.494219276612825e-54,3.778821969827649e-56,5.623353978887442e-58,8.226692088319576e-60,1.1841366263989486e-61,1.678281162613259e-63,2.343896891622388e-65,3.228002770855647e-67,4.3868117490945817e-69,5.886678932804723e-71,7.805019721641444e-73,1.023119836357376e-74,1.3439887177949733e-76,91.239,82.418999999,17.744,7.8115,0.34508,0.34237,0.3586,6.0,2.3130884368041368e-10,5.385639764205454,3.48087912538365e-09,87.9344019427559,87.9344019427559,3.3045980572441067,1.0
