Time,V_bert,V_exp,V_gomp,V_lin,V_log,V_mend,V_surf,a_exp,a_mend,a_log,a_lin,a_surf,a_gomp,a_bert,b_mend,b_log,b_lin,b_surf,b_gomp,b_bert,c_gomp,tumour
0.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.12,221.02688912275437,220.65053524337816,220.8515155586123,220.77244190785314,220.75546855672042,220.87084537241083,220.78909901630286,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.24,222.0567699871895,221.30287452706972,221.7059427287691,221.54730262100858,221.51328958204533,221.74422618153835,221.58064128255955,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.36,223.08982720556622,221.95713218814433,222.56346673511118,222.32473552030896,222.2736125048082,222.62030099023943,222.37478111078977,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.48,224.1260834209635,222.61332559303332,223.42411650104998,223.10476400807548,223.0364604011001,223.49909158369155,223.17154137067462,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.6,225.16554073562838,223.2714569361242,224.28789579143097,223.88739105571696,223.80183623983274,224.38060039107773,223.97092487134645,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.72,226.20820846062432,223.93153627777178,225.15482188565264,224.67263027775317,224.56975364466507,225.26483840218728,224.77294443949773,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.84,227.25408632215377,224.59356335226389,226.02489433071247,225.46048131478472,225.34021225747722,226.15180531468584,225.5775997329702,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
0.96,228.30318919790668,225.25755502615982,226.89814213449188,226.25096697087244,226.1132349454573,227.0415192211333,226.38491213478576,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
1.08,229.3555149320908,225.92350887703316,227.77456113271137,227.0440839707561,226.88881842537538,227.93397751467273,227.19487857129593,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
1.2,230.41106562856663,226.59142726895544,228.65415538933527,227.83983551079677,227.66696590137025,228.8291827393633,228.00750204210672,0.0246,0.105,0.0295,132.0,0.291,0.0919,0.2344,0.785,6920.0,4300.0,708.0,15500.0,3.46e-19,10700.0,1.0
