Time,MPF,Wee1,Cdc25_active_total,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,p21_MPF,preMPF,Chk1,Rad3_ATM,Wee1_phosphorylated,k1,k1_0,k2,k2_0,k2_1,k_ctak1,k_ctak1_0,k3,k_3,k4,k5,k6,k7,k_Plk1,k7_0,k8,k8_0,k8_1,k9,k9_0,k9_1,k10,k11,k12,k13,k14,k14_0,k15,k16,k17,k18,k_Plk1_0,k18_0,k20,k21,k22,k23,k_23,kex,kin,nucleus,R2_Cdc25_Phosphorylation,R2__Cdc25_Dephosphorylation,R7__Cdc25_inactivation,R7_Cdc25_Activation,R18_Cdc25Ps216_activation,R18__Cdc25Ps216_inactivation,R2__Cdc25_Phosphorylation,R3___Cdc25_protein_14_3_3_unbinding,R12_14_3_3_degradation,R13_14_3_3_synthesis,R6_14_3_3_synthesis_mediated_by_p53,R3___protein_14_3_3_Cdc25_binding,R20_p21_synthesis_mediated_by_p53,R21_p21_natural_synthesis,R22_p21_degradation,R23_p21_MPF_complex_formation,R23__p21_MPF_unbinding,R9_MPF_activation,R9__MPF_inactivation,R15_MPF_degradation,R14_preMPF_synthesis,R1_Chk1_Phosphorylation,R1__Chk1_Dephosphorylation,R4_Rad3_ATM_natural_synthesis,R5_Rad3_ATM_degradation,R10_p53_synthesis,R11_p53_degradation,R16_Wee1_synthesis,R8_Wee1_Phosphorylation,R8__Wee1_Dephosphorylation,R17_Wee1P_degradation,Rex_Nuclear_export_of_iCdc25Ps216_14_3_3,Rin_nuclear_import_of_iCdc25
0.0,1e-08,0.001,1e-06,1e-06,0.0,1e-06,2e-05,1e-06,2.0,0.03,0.0,0.0,0.0,1e-06,0.999999,0.0,0.0,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,9.999999999999999e-14,0.0,1e-08,1e-14,2.0000000000000003e-13,0.0,9.999999999999999e-14,0.0,0.2,1.0,0.0,0.004,0.0,0.01,0.0,0.0,0.0,1e-12,1.0000000000000001e-11,1e-18,0.0005,0.0,9.999999999999999e-06,0.0,0.0,0.0,0.0,0.0002,1.0000000000000002e-12,0.0,0.0,0.03,1e-05
4.0,1.3802137136255671e-08,0.00179999999368322,9.607904258613697e-07,9.607904156995864e-07,1.016178337126943e-14,4.1039209554715375e-05,1.6702172771479639e-13,1.2189069476323313e-22,4.6374262195672635,0.0005498350711168701,0.0,0.03296799537098412,3.257390956840879e-11,0.0020009961652889484,1.0,0.0,5.361231079871362e-12,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.1711141129147816e-29,1.0161783371269431e-16,9.607904156995864e-09,5.664287982377157e-13,2.3052567906539742e-21,1.0161783371269431e-16,5.002297765158172e-28,0.0,0.4637426219567264,1.0,0.0,7.745509393420211e-11,0.0,0.01,0.003296799537098412,4.55028793217765e-11,3.257390956840879e-11,1.9225379577949365e-09,2.4843846758075145e-11,1.904989895280079e-18,0.0005,0.0,1.2189069476323312e-21,0.0,0.0,0.0,0.0,0.0002,2.4843846758075147e-12,5.3612310798713625e-14,5.361231079871363e-13,0.0005498350711168701,1e-05
8.0,2.4837439613801215e-08,0.0025999999773132546,9.231219460540741e-07,9.231219366735606e-07,9.380513565171459e-15,8.107687803413197e-05,-2.019668506859669e-14,-6.1280986018504174e-33,6.40535929374171,1.0070607637168651e-05,0.0,0.05506710346938643,1.0993270872240755e-10,0.004000985052627655,1.0,0.0,1.750779602121887e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-5.656982249466696e-40,9.380513565171459e-17,9.231219366735606e-09,2.013742062248279e-12,-5.016339457902309e-22,9.380513565171459e-17,-4.96847102923361e-38,0.0,0.640535929374171,1.0,0.0,-1.2936702440691023e-11,0.0,0.01,0.005506710346938643,1.367725857127829e-10,1.0993270872240755e-10,3.6933971079149033e-09,6.457734243240249e-11,6.168984065692219e-18,0.0005,0.0,-6.128098601850417e-32,0.0,0.0,0.0,0.0,0.0002,6.4577342432402496e-12,1.750779602121887e-13,1.750779602121887e-12,1.0070607637168651e-05,1e-05
12.0,4.2371324926980185e-08,0.0033999999383115737,8.869392052904643e-07,8.869391966311485e-07,8.659315810803874e-15,0.00012111306077453488,1.937799787130076e-15,1.15184877046539e-43,7.59044027667718,1.8443494885802698e-07,0.0,0.06988057861525587,2.5183759031923195e-10,0.006000967376837412,1.0,0.0,4.472349287945043e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.0216198231171491e-50,8.659315810803874e-17,8.869391966311485e-09,5.131720850978916e-12,8.210714442392148e-23,8.659315810803874e-17,1.3950393014044807e-48,0.0,0.7590440276677181,1.0,0.0,1.4708753552368593e-12,0.0,0.01,0.006988057861525588,2.9609327025923897e-10,2.5183759031923195e-10,5.322493236186176e-09,1.4406250213791228e-10,1.7953291760677325e-17,0.0005,0.0,1.15184877046539e-42,0.0,0.0,0.0,0.0,0.0002,1.4406250213791229e-11,4.472349287945043e-13,4.472349287945043e-12,1.8443494885802698e-07,1e-05
16.0,6.566437672060722e-08,0.0041999998589955295,8.521918415295848e-07,8.521918335360968e-07,7.993488051271485e-15,0.0001611478081379628,-2.6249071599458165e-14,-1.066944886886935e-46,8.384823815841155,3.383151959155375e-09,0.0,0.0798103478933765,4.630278947174386e-10,0.008000943872595196,1.0,0.0,9.674040494993054e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-9.092417194381406e-54,7.993488051271485e-17,8.521918335360968e-09,1.0581670381271323e-11,-1.7236289260730126e-21,7.993488051271485e-17,-1.7193582992583624e-51,0.0,0.8384823815841156,1.0,0.0,-2.200938406908565e-11,0.0,0.01,0.00798103478933765,5.240696750273396e-10,4.630278947174386e-10,6.818339092761748e-09,2.7579037296757965e-10,4.311810370105823e-17,0.0005,0.0,-1.066944886886935e-45,0.0,0.0,0.0,0.0,0.0002,2.7579037296757966e-11,9.674040494993053e-13,9.674040494993055e-12,3.383151959155375e-09,1e-05
20.0,9.397645897595418e-08,0.004999999717555731,8.188338265087251e-07,8.188338191300432e-07,7.378681895739716e-15,0.00020118116615267634,8.312941993313393e-15,9.885765615660767e-49,8.917314930196444,6.218784904340182e-11,0.0,0.0864664700308617,7.370535727927809e-10,0.010000915286487017,1.0,0.0,1.8345725476588093e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,8.09479921409597e-56,7.378681895739716e-17,8.188338191300433e-09,1.890629360768161e-11,7.812208522041029e-22,7.378681895739716e-17,1.9888298548706638e-53,0.0,0.8917314930196444,1.0,0.0,7.412912175083051e-12,0.0,0.01,0.00864664700308617,8.125812673650847e-10,7.370535727927809e-10,8.189087732623768e-09,4.698822683366586e-10,8.831574841659198e-17,0.0005,0.0,9.885765615660767e-48,0.0,0.0,0.0,0.0,0.0002,4.698822683366587e-11,1.8345725476588093e-12,1.8345725476588095e-11,6.218784904340182e-11,1e-05
24.0,1.265675358541099e-07,0.005799999488992113,7.868228322568037e-07,7.868228254454505e-07,6.811353204485069e-15,0.00024121317714664465,-9.42567371478822e-15,2.506498187883927e-52,9.27424238466366,1.4891778165409977e-12,0.0,0.09092805192913203,1.0635782819502375e-09,0.012000882368884948,1.0,0.0,3.1411223336721815e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.9721699861647333e-59,6.811353204485069e-17,7.868228254454505e-09,3.052975744699171e-11,-1.1929842958455992e-21,6.811353204485069e-17,6.046003914117895e-57,0.0,0.927424238466366,1.0,0.0,-8.741598266969908e-12,0.0,0.01,0.009092805192913203,1.1508539472684784e-09,1.0635782819502375e-09,9.442568255066795e-09,7.340916432768283e-10,1.6019341132181393e-16,0.0005,0.0,2.5064981878839272e-51,0.0,0.0,0.0,0.0,0.0002,7.340916432768283e-11,3.1411223336721817e-12,3.1411223336721814e-11,1.4891778165409977e-12,1e-05
28.0,1.6270251106816437e-07,0.006599999146022472,7.561196176258056e-07,7.561196113381334e-07,6.287672215867203e-15,0.00028124388036101383,-7.294818822262529e-15,-5.227344575754113e-52,9.513507079358853,-7.385882021215417e-14,0.0,0.09391885301570835,1.4317149200049145e-09,0.014000845865772256,1.0,0.0,4.967586729220285e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-3.9524977489497e-59,6.287672215867204e-17,7.561196113381334e-09,4.575908555729135e-11,-1.1868853401694228e-21,6.287672215867204e-17,-1.4701586724691845e-56,-0.0,0.9513507079358853,1.0,0.0,-6.939931050823477e-12,0.0,0.01,0.009391885301570835,1.528083322229759e-09,1.4317149200049145e-09,1.058631422246556e-08,1.0738364341055967e-09,2.6472107107886145e-16,0.0005,0.0,-5.227344575754113e-51,0.0,0.0,0.0,0.0,0.0002,1.0738364341055967e-10,4.967586729220285e-12,4.9675867292202846e-11,-7.385882021215417e-14,1e-05
32.0,2.016580311666755e-07,0.0073999986599490065,7.266874557170857e-07,7.266874499129049e-07,5.804180818479629e-15,0.00032127331252268087,5.848391111436824e-14,-1.6749893528058323e-53,9.673929647532736,-2.051462264367547e-13,0.0,0.09592412999858795,1.8313226027776432e-09,0.01600080651064314,1.0,0.0,7.379405272202535e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.2171937414217373e-60,5.80418081847963e-17,7.266874499129049e-09,6.478734366971986e-11,1.1793750370250348e-20,5.80418081847963e-17,-5.3812937781615116e-58,-0.0,0.9673929647532736,1.0,0.0,5.657692416329562e-11,0.0,0.01,0.009592412999858795,1.934387119689148e-09,1.8313226027776432e-09,1.1627585372640644e-08,1.4922691604013537e-09,4.0665961534019864e-16,0.0005,0.0,-1.6749893528058325e-52,0.0,0.0,0.0,0.0,0.0002,1.4922691604013536e-10,7.379405272202535e-12,7.379405272202535e-11,-2.051462264367547e-13,1e-05
36.0,2.4272987085967243e-07,0.008199998001465432,6.984916109384721e-07,6.984916055807109e-07,5.357761219503852e-15,0.00036130150836723656,1.496846085751362e-13,-2.938815118045348e-54,9.781446578080581,-8.922616030793979e-14,0.0,0.09726808818120251,2.253350201970031e-09,0.018000765016773865,1.0,0.0,1.0425131167190927e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-2.0527376903083614e-61,5.357761219503852e-17,6.984916055807109e-09,8.769866846738419e-11,3.6332925709123427e-20,5.357761219503852e-17,-1.0617983349622226e-58,-0.0,0.9781446578080581,1.0,0.0,1.4641320023385973e-10,0.0,0.01,0.009726808818120252,2.360987048299052e-09,2.253350201970031e-09,1.2573383354691269e-08,1.9903844559452764e-09,5.891779020755326e-16,0.0005,0.0,-2.938815118045348e-53,0.0,0.0,0.0,0.0,0.0002,1.9903844559452763e-10,1.0425131167190928e-11,1.0425131167190928e-10,-8.922616030793979e-14,1e-05
