Time,MPF,Wee1,Cdc25_active_total,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,p21_MPF,preMPF,Chk1,Rad3_ATM,Wee1_phosphorylated,k1,k1_0,k2,k2_0,k2_1,k_ctak1,k_ctak1_0,k3,k_3,k4,k5,k6,k7,k_Plk1,k7_0,k8,k8_0,k8_1,k9,k9_0,k9_1,k10,k11,k12,k13,k14,k14_0,k15,k16,k17,k18,k_Plk1_0,k18_0,k20,k21,k22,k23,k_23,kex,kin,nucleus,R2_Cdc25_Phosphorylation,R2__Cdc25_Dephosphorylation,R7__Cdc25_inactivation,R7_Cdc25_Activation,R18_Cdc25Ps216_activation,R18__Cdc25Ps216_inactivation,R2__Cdc25_Phosphorylation,R3___Cdc25_protein_14_3_3_unbinding,R12_14_3_3_degradation,R13_14_3_3_synthesis,R6_14_3_3_synthesis_mediated_by_p53,R3___protein_14_3_3_Cdc25_binding,R20_p21_synthesis_mediated_by_p53,R21_p21_natural_synthesis,R22_p21_degradation,R23_p21_MPF_complex_formation,R23__p21_MPF_unbinding,R9_MPF_activation,R9__MPF_inactivation,R15_MPF_degradation,R14_preMPF_synthesis,R1_Chk1_Phosphorylation,R1__Chk1_Dephosphorylation,R4_Rad3_ATM_natural_synthesis,R5_Rad3_ATM_degradation,R10_p53_synthesis,R11_p53_degradation,R16_Wee1_synthesis,R8_Wee1_Phosphorylation,R8__Wee1_Dephosphorylation,R17_Wee1P_degradation,Rex_Nuclear_export_of_iCdc25Ps216_14_3_3,Rin_nuclear_import_of_iCdc25
0.0,1e-08,0.001,1e-06,1e-06,0.0,1e-06,2e-05,1e-06,2.0,0.03,0.0,0.0,0.0,1e-06,0.999999,0.0,0.0,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,9.999999999999999e-14,0.0,1e-08,1e-14,2.0000000000000003e-13,0.0,9.999999999999999e-14,0.0,0.2,1.0,0.0,0.004,0.0,0.01,0.0,0.0,0.0,1e-12,1.0000000000000001e-11,1e-18,0.0005,0.0,9.999999999999999e-06,0.0,0.0,0.2,0.0,0.0002,1.0000000000000002e-12,0.0,0.0,0.03,1e-05
10.0,2.934824765288762e-08,0.002999999964376899,9.048472775917643e-07,9.048472685790654e-07,9.012698903167219e-15,0.00010109515270241296,1.0178923906348012e-17,-1.1549860230504365e-46,7.068782101681888,1.3629079771582295e-06,0.19999092003018912,0.18146207710521634,4.420547143045222e-10,0.004243611031713668,0.9999999999999999,0.0,2.6391637157088067e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-1.045085948204185e-53,9.012698903167219e-17,9.048472685790655e-09,2.9669655780169067e-12,2.9873357964339976e-25,9.012698903167219e-17,-1.1676348836943654e-51,0.0,0.7068782101681889,1.0,0.001999909200301891,7.195259512357472e-15,0.019999092003018915,0.01,0.018146207710521636,5.325593978491278e-10,4.420547143045222e-10,3.83981988920449e-09,8.804474191318726e-11,8.613196402952238e-18,0.0004166698194578182,0.0,-1.1549860230504365e-45,0.0,0.0,0.2,0.19999092003018912,0.0002,8.804474191318727e-12,2.639163715708807e-13,2.639163715708807e-12,1.3629079771582295e-06,1e-05
20.0,7.99299336597445e-08,0.0049999997539986185,8.188201604531211e-07,8.188201530741457e-07,7.378975414710267e-15,0.00020118117981873476,-2.4045846676282716e-15,-5.6128166783427316e-58,8.934307757775368,5.6827922570627923e-11,0.19999999962141898,0.25639197058789115,1.8609937954154455e-09,0.00841022885040273,0.9999999999999999,0.0,1.5831389592435805e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-4.595887411737714e-65,7.378975414710268e-17,8.188201530741458e-09,1.6080398356500596e-11,-1.9219829296276653e-22,7.378975414710268e-17,-1.1291930814552626e-62,0.0,0.8934307757775368,1.0,0.00199999999621419,-2.1483299450218974e-12,0.0199999999621419,0.01,0.025639197058789115,2.0493393199981303e-09,1.8609937954154455e-09,6.886464936734231e-09,3.996496486358484e-10,6.388794294851157e-17,0.0004166666667981184,0.0,-5.612816678342731e-57,0.0,0.0,0.2,0.19999999962141898,0.0002,3.9964964863584844e-11,1.5831389592435804e-12,1.5831389592435804e-11,5.6827922570627923e-11,1e-05
30.0,1.5222575382394064e-07,0.00699999908531555,7.411813292925028e-07,7.411813232496655e-07,6.042837356974493e-15,0.000301258818649228,-4.716721357988474e-15,2.890800508373771e-62,9.620595951421901,-1.6838997572767553e-13,0.20000000000008974,0.2839574933159484,4.074780340554589e-09,0.012576821007592809,0.9999999999999999,0.0,5.138733586805908e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,2.1426073460472773e-69,6.042837356974493e-17,7.411813232496655e-09,4.585935076498856e-11,-7.180064642972764e-22,6.042837356974493e-17,8.708791461032699e-67,-0.0,0.9620595951421902,1.0,0.0020000000000008973,-4.537767040064912e-12,0.020000000000008976,0.01,0.02839574933159484,4.322564347397683e-09,4.074780340554589e-09,9.321704912681514e-09,1.0655801375290545e-09,2.3172680127266975e-16,0.0004166666666666355,0.0,2.890800508373771e-61,0.0,0.0,0.2,0.20000000000008974,0.0002,1.0655801375290544e-10,5.138733586805907e-12,5.138733586805908e-11,-1.6838997572767553e-13,1e-05
40.0,2.371400309000302e-07,0.0089999976010314,6.713078081867039e-07,6.713078032390423e-07,4.947661631348325e-15,0.00040132869216978606,2.2792146394538067e-15,2.477175685955888e-65,9.873025518953769,-1.5325859510782556e-15,0.20000000000000012,0.29409660525298936,6.701550421868302e-09,0.01674340013320846,0.9999999999999999,0.0,1.1795499813271952e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.662947367976215e-72,4.947661631348325e-17,6.713078032390423e-09,9.517109846221178e-11,5.40493030027877e-22,4.947661631348325e-17,9.941616783194693e-70,-0.0,0.987302551895377,1.0,0.0020000000000000013,2.2502744298500447e-12,0.020000000000000014,0.01,0.029409660525298937,6.974207805728788e-09,6.701550421868302e-09,1.1239975245017138e-08,2.1342597092087837e-09,5.623539425526728e-16,0.00041666666666666664,0.0,2.477175685955888e-64,0.0,0.0,0.2,0.20000000000000012,0.0002,2.1342597092087838e-10,1.1795499813271952e-11,1.1795499813271952e-10,-1.5325859510782556e-15,1e-05
50.0,3.2624212088427905e-07,0.010999994935101036,6.086467582330517e-07,6.086467541822506e-07,4.050801012022637e-15,0.0005013913532192908,1.729922900761847e-15,1.7604810353882595e-66,9.96594269817714,-1.408930374645505e-15,0.2,0.29782872615632994,9.444197529355983e-09,0.02090997495513003,0.9999999999999999,0.0,2.189596745071161e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.071511067988472e-73,4.050801012022637e-17,6.0864675418225065e-09,1.6357497846730015e-10,5.643737161108291e-22,4.050801012022637e-17,8.826899686502177e-71,-0.0,0.9965942698177139,1.0,0.002,1.7240312501256945e-12,0.020000000000000004,0.01,0.029782872615632994,9.716427528150423e-09,9.444197529355983e-09,1.2726788471174192e-08,3.5886616773436893e-09,1.0643392143907254e-15,0.0004166666666666667,0.0,1.7604810353882595e-65,0.0,0.0,0.2,0.2,0.0002,3.5886616773436897e-10,2.189596745071161e-11,2.189596745071161e-10,-1.408930374645505e-15,1e-05
60.0,4.122822672059317e-07,0.012999990766640454,5.526802937635606e-07,5.526802904469388e-07,3.3166218075325736e-15,0.0006014473196833928,7.80267890377917e-15,7.67424087244202e-69,10.000124491841623,-7.522498519537286e-15,0.2,0.29920167564468114,1.2082762608352589e-08,0.025076552943071536,0.9999999999999999,0.0,3.525627479924222e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,4.241401674341025e-76,3.316621807532574e-17,5.526802904469388e-09,2.47966064564e-10,3.21690614872997e-21,3.316621807532574e-17,4.615651603334995e-73,-0.0,1.0000124491841624,1.0,0.002,7.802776040765803e-12,0.020000000000000004,0.01,0.029920167564468116,1.2335554518660295e-08,1.2082762608352589e-08,1.3859316647154257e-08,5.359665666926704e-09,1.699766678524633e-15,0.0004166666666666667,0.0,7.67424087244202e-68,0.0,0.0,0.2,0.2,0.0002,5.359665666926705e-10,3.5256274799242216e-11,3.5256274799242223e-10,-7.522498519537286e-15,1e-05
70.0,4.895646107204384e-07,0.014999984858648513,5.029007799827187e-07,5.029007772673284e-07,2.715390297094263e-15,0.0007014970991968731,1.6001402386559465e-14,-7.953619178895805e-69,10.01268580544196,-1.2912110087935416e-14,0.2,0.29970621485314475,1.4453145972848163e-08,0.02924313995699087,0.9999999999999999,0.0,5.126280413937245e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-3.999881267155031e-76,2.715390297094263e-17,5.029007772673284e-09,3.434281542898339e-10,7.833720330357078e-21,2.715390297094263e-17,-5.579440782112023e-73,-0.0,1.001268580544196,1.0,0.002,1.6021701454306905e-11,0.020000000000000004,0.01,0.029970621485314475,1.4672555640507588e-08,1.4453145972848163e-08,1.4706397893514514e-08,7.3434617481367285e-09,2.3967350806985435e-15,0.0004166666666666667,0.0,-7.953619178895805e-68,0.0,0.0,0.2,0.2,0.0002,7.34346174813673e-10,5.1262804139372446e-11,5.126280413937244e-10,-1.2912110087935416e-14,1e-05
80.0,5.541239381045325e-07,0.0169999770798676,4.5879704846148546e-07,4.5879704623809486e-07,2.2233906044191253e-15,0.0008015412029281484,-8.056265284348155e-14,-5.735680154172248e-70,10.017307866859788,6.267028429775114e-14,0.2,0.29989186536562423,1.644072303877331e-08,0.03340974007672569,0.9999999999999999,0.0,6.901499402012084e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,-2.631513112900688e-77,2.2233906044191255e-17,4.587970462380949e-09,4.441531679195898e-10,-4.464169445777831e-20,2.2233906044191255e-17,-4.5973839703863315e-74,0.0,1.0017307866859788,1.0,0.002,-8.070208961041018e-11,0.020000000000000004,0.01,0.029989186536562424,1.6617726144191394e-08,1.644072303877331e-08,1.532829013706715e-08,9.420094247183025e-09,3.0705333878047575e-15,0.0004166666666666667,0.0,-5.735680154172248e-69,0.0,0.0,0.2,0.2,0.0002,9.420094247183026e-10,6.901499402012085e-11,6.901499402012085e-10,6.267028429775114e-14,1e-05
90.0,6.037136357671418e-07,0.018999967410029434,4.1985051017059687e-07,4.198505083486001e-07,1.821996788264401e-15,0.0009015801494662394,-6.542082016940229e-13,1.273953875538763e-70,10.019009181886004,5.10347352501433e-13,0.2,0.2999602009636279,1.7978766269118557e-08,0.037576355615617785,0.9999999999999999,0.0,8.748114159151234e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.0,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.2,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,5.348701822576189e-78,1.821996788264401e-17,4.198505083486001e-09,5.442962299697465e-10,-3.949544119933822e-19,1.821996788264401e-17,1.148571525521333e-74,0.0,1.0019009181886005,1.0,0.002,-6.554517979637546e-10,0.020000000000000004,0.01,0.02999602009636279,1.8109006350919433e-08,1.7978766269118557e-08,1.5776452075568898e-08,1.1470539404566074e-08,3.6447015401118115e-15,0.0004166666666666667,0.0,1.273953875538763e-69,0.0,0.0,0.2,0.2,0.0002,1.1470539404566075e-09,8.748114159151234e-11,8.748114159151235e-10,5.10347352501433e-13,1e-05
