Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
0.0,0.01,0.0,0.0,0.01,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,0.03633602811950791,0.0,0.0028000000000000004,0.0,0.0,0.0
0.22,0.022152107962159384,0.0009409208261194099,0.0,0.022152107962159384,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,0.08031975280136588,0.0006482741271139191,0.006202590229404628,9.4092082611941e-06,0.0,0.0
0.44,0.04866484691929267,0.0030134778586937703,0.0,0.04866484691929267,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,0.1756250176429092,0.002499800926605373,0.013626157137401949,3.0134778586937703e-05,0.0,0.0
0.66,0.105894714894735,0.007540938974868244,0.0,0.105894714894735,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,0.37828315344017466,0.00689026745962982,0.0296505201705258,7.540938974868245e-05,0.0,0.0
0.88,0.22714414046744594,0.01731731983163265,0.0,0.22714414046744594,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,0.793798724658753,0.01658707535679563,0.06360035933088487,0.00017317319831632649,0.0,0.0
1.1,0.47452015862870983,0.03800500886044962,0.0,0.47452015862870983,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,1.5832082901255764,0.03722062438885175,0.13286564441603876,0.00038005008860449624,0.0,0.0
1.32,0.9426805815940422,0.08012792110588922,0.0,0.9426805815940422,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,2.862873325570203,0.0792868425465696,0.26395056284633184,0.0008012792110588922,0.0,0.0
1.54,1.7144845300085736,0.1600926213979488,0.0,1.7144845300085736,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.360297639803275,0.15916427081774875,0.48005566840240066,0.0016009262139794881,0.0,0.0
1.76,2.736218861260866,0.29590715349978847,0.0,2.736218861260866,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,5.1703299923428485,0.29482964595778605,0.7661412811530426,0.0029590715349978847,0.0,0.0
1.98,3.753391191650382,0.49575591866466023,0.0,3.753391191650382,0.0,3.64,5.69,1.0,0.28,0.01,0.0,4.27,0.13,1.82,1.0,4.650020318501315,0.49443860698107933,1.050949533662107,0.004957559186646602,0.0,0.0
