Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
0.0,0.01,0.0,0.0,0.01,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.02215422680412371,0.0,0.0029,0.0,0.0,0.0
0.22,0.016219542822462137,0.0008201580272281367,0.0,0.016219542822462137,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.035886967885659614,0.0005073539357221963,0.004703667418514019,8.201580272281367e-06,0.0,0.0
0.44,0.026114159350945357,0.002143300913565101,0.0,0.026114159350945357,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.0576612837617159,0.0015498215270626445,0.007573106211774153,2.143300913565101e-05,0.0,0.0
0.66,0.04175551620896259,0.004263767707224827,0.0,0.04175551620896259,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.09189917972467906,0.003439939056765639,0.01210909970059915,4.2637677072248275e-05,0.0,0.0
0.88,0.06633492010802422,0.007640564171755343,0.0,0.06633492010802422,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.14524935480287807,0.006639637707046543,0.01923712683132702,7.640564171755343e-05,0.0,0.0
1.1,0.1047010990888345,0.012984606594303547,0.0,0.1047010990888345,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.2274186357021796,0.011852568043892871,0.030363318735762004,0.00012984606594303546,0.0,0.0
1.32,0.16405008006990424,0.021385107641461388,0.0,0.16405008006990424,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.3518724990187975,0.02015643209975107,0.047574523220272225,0.00021385107641461388,0.0,0.0
1.54,0.2546591195076522,0.03448211469444974,0.0,0.2546591195076522,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.5356587477668897,0.033179226860522194,0.07385114465721913,0.0003448211469444974,0.0,0.0
1.76,0.3903045689864047,0.05467829075808111,0.0,0.3903045689864047,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.7967463292139232,0.05331237352919387,0.11318832500605736,0.0005467829075808111,0.0,0.0
1.98,0.5875445452268786,0.08534655078843338,0.0,0.5875445452268786,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.1463358851192564,0.08391826311565362,0.1703879181157948,0.0008534655078843338,0.0,0.0
2.2,0.8625202663584928,0.13092047540152774,0.0,0.8625202663584928,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.5742693241134502,0.12941998904666138,0.2501308772439629,0.0013092047540152773,0.0,0.0
2.42,1.224071490445064,0.1966664203629285,0.0,1.224071490445064,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.031595564363447,0.1950727815673997,0.35498073222906856,0.0019666642036292852,0.0,0.0
2.64,1.6642048184651486,0.2879165632297384,0.0,1.6642048184651486,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.4268104815860707,0.2861968419623388,0.48261939735489306,0.002879165632297384,0.0,0.0
2.86,2.151581269819484,0.4087497041795321,0.0,2.151581269819484,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.6575309648515413,0.40685872876312473,0.6239585682476503,0.004087497041795321,0.0,0.0
3.08,2.636082459220576,0.5605777146537515,0.0,2.636082459220576,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.6713553842904854,0.5584591952073891,0.7644639131739669,0.005605777146537515,0.0,0.0
3.3,3.0656628649437807,0.7414455409889924,0.0,3.0656628649437807,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.503874418047443,0.7390348556390475,0.8890422308336964,0.0074144554098899244,0.0,0.0
3.52,3.4046820187274136,0.9465323281180207,0.0,3.4046820187274136,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.2524294588957603,0.9437603794477584,0.9873577854309499,0.009465323281180207,0.0,0.0
3.74,3.641274683696491,1.1695128984312657,0.0,3.641274683696491,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.0146160792234595,1.1663098720918526,1.0559696582719824,0.011695128984312658,0.0,0.0
3.96,3.782452168757824,1.403967966684808,0.0,3.782452168757824,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.8482981264261837,1.4002659609528685,1.0969111289397688,0.01403967966684808,0.0,0.0
4.18,3.8444730976645176,1.6442864233916543,0.0,3.8444730976645176,0.0,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.7694641025803857,1.64002050589339,1.11489719832271,0.016442864233916544,0.0,0.0
4.4,3.8450761591890097,1.8859820029309091,0.0,3.8450761591890097,2.220446049250313e-16,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.7686802718904409,1.8810897986655395,1.1150720861648127,0.018859820029309093,0.0,0.0
4.62,3.799513094325902,2.1256419719753876,0.0,3.799513094325902,9.43689570931383e-15,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.8269633057379644,2.120062146104356,1.1018587973545115,0.021256419719753877,0.0,0.0
4.84,3.719359701259924,2.360717311057121,0.0,3.719359701259924,3.5016434196677437e-13,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.9248809648524918,2.354387223588595,1.078614313365378,0.02360717311057121,0.0,0.0
5.06,3.612713216591168,2.589288925292562,0.0,3.612713216591168,1.1787903986260062e-11,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.046044606102875,2.5821415504646725,1.0476868328114386,0.02589288925292562,0.0,0.0
5.28,3.484829242424377,2.809863431583675,0.0,3.484829242424377,3.5090963468320524e-10,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.177608059530478,2.801823372294156,1.0106004803030693,0.02809863431583675,0.0,0.0
5.5,3.338763876037465,3.0212119837469325,0.0,3.338763876037465,9.063811146070577e-09,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.3095601000092274,3.0121901115111336,0.9682415240508647,0.030212119837469326,0.0,0.0
5.72,3.1758536737103817,3.2222472230037353,0.0,3.1758536737103817,1.9976455045700447e-07,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.433689309010285,3.2121329881611445,0.9209975653760106,0.03222247223003735,0.0,0.0
5.94,2.995964290931438,3.411921509640263,0.0,2.995964290931438,3.6967288948863697e-06,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.5425292800470465,3.4005710038477175,0.8688296443701169,0.03411921509640263,0.0,0.0
6.16,2.7975410245663097,3.5891359049085922,0.0,2.7975410245663097,5.6474955165586316e-05,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.6282228393264924,3.576351992319237,0.8112868971242297,0.03589135904908592,0.0,0.0
6.38,2.5774051954869743,3.7526449585390673,0.0,2.5774051954869743,0.0006985453313153034,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.681118102511885,3.738141451453728,0.7474475066912225,0.03752644958539068,0.0,0.0
6.6,2.3301987786571625,3.9009380289754856,0.0,2.3301987786571625,0.006818305666587254,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.6876362385812023,3.884268769660626,0.6757576458105771,0.039009380289754855,0.0,0.0
6.82,2.0472451818180577,4.032068770615537,0.0,2.0472451818180577,0.05015042825331717,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.6264322433186655,4.012469411208837,0.5937011027272366,0.04032068770615537,0.0,0.0
7.04,1.7142771389200298,4.143381711206777,0.0,1.7142771389200298,0.2495489531647178,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.4605372356121706,4.119352037451421,0.4971403702868086,0.04143381711206777,0.0,0.0
7.26,1.306654050462117,4.231021731825527,0.0,1.306654050462117,0.7088403765110158,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,2.1192657089645173,4.1988870816466095,0.3789296746340139,0.042310217318255273,0.0,0.0
7.48,0.77883198497148,4.2889878461525734,0.0,0.77883198497148,1.1450304768167634,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,1.4513562934390678,4.234616472680596,0.22586127564172917,0.042889878461525734,0.0,0.0
7.7,0.052532053525518596,4.307241615474436,0.0,0.052532053525518596,1.278886232133238,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,0.11535799409310703,3.6184362152620952,0.015234295522400392,0.043072416154744365,0.0,0.0
7.92,2.572380595255793e-15,4.297906961237461,0.0,2.572380595255793e-15,1.2114310913488602,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,5.710684921467858e-15,1.1055852467299192e-12,7.459903726241799e-16,0.04297906961237462,0.0,0.0
8.14,-7.37501106241065e-16,4.288461956657962,0.0,-7.37501106241065e-16,1.1410679581172893,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-1.637252455855165e-15,-3.1627454371082017e-13,-2.1387532080990884e-16,0.042884619566579615,0.0,0.0
8.36,-2.5627088007170545e-15,4.279037655420833,0.0,-2.5627088007170545e-15,1.069408642927911,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-5.6892135375918634e-15,-1.096592745814945e-12,-7.431855522079457e-16,0.04279037655420833,0.0,0.0
8.58,-2.5896249344372858e-15,4.269634049560454,0.0,-2.5896249344372858e-15,0.9971850040544504,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-5.748967354450777e-15,-1.1056750795667058e-12,-7.509912309868128e-16,0.04269634049560454,0.0,0.0
8.8,-1.9167637574117806e-16,4.260251078578123,0.0,-1.9167637574117806e-16,0.9251485595776275,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-4.255215541454153e-16,-8.16589486489315e-14,-5.558614896494163e-17,0.04260251078578123,0.0,0.0
9.02,-2.7721557885236536e-15,4.250888362163851,0.0,-2.7721557885236536e-15,0.8540374378114988,2.22,4.85,1.0,0.29,0.01,0.0,4.27,0.13,1.82,1.0,-6.154185850522515e-15,-1.1784124779543618e-12,-8.039251786718595e-16,0.04250888362163851,0.0,0.0
