Time,CSC_Plot,CTL_Plot,Tumor_Plot,Tumor,CancerStemCell,CytotoxicTcell,TGFb,IFNy,MHC1,MHC2,r1,k1,at,et,atb,etb,ht,r2,k2,ra,as,es,asb,esb,hs,uc,gb,abt,abs,ub,gm1,am1y,em1y,um1,am2y,em2y,am2b,em2b,um2,ayc,uy,N,tumor_microenvironment,tumor_growth,tumor_transformation,tumor_killing,csc_growth,csc_killing,ctl_death,ctl_source,tgfb_source,tgfb_by_tumor,tgfb_by_csc,tgfb_decay,ifny_production,ifny_decay,mhc1_source,mhc1_decay,mhc1_stimulation,mhc2_production,mhc2_decay
0.0,3e-06,2.5,7e-07,70.0,30.0,250.0,50.0,50.0,50.0,50.0,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.069999951,1.259999118e-06,2.0863292542122633e-08,2.999991,8.941411804793973e-10,1.75,0.0,63945.0,0.0004025,0.0001725,350.0,0.0255,5.1,1.44,0.72,0.0004259724892767342,294.41238428404847,0.72
3.5,4.257196727446126e-06,2.439494222296019,7.024543431340089e-07,70.24543431340089,42.57196727446126,243.9494222296019,9135.000557724847,35.06271525857841,52.458771651497024,829.820970823376,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07024538496919049,1.7942905380541854e-06,1.8285967709090844e-08,4.257178603722149,1.1082138926012204e-09,1.7076459556072134,0.0,63945.0,0.00040391124730205515,0.00024478881182815224,63945.00390407393,0.024882841067419396,3.5763969563749973,1.44,0.7554063117815571,0.00029872824177936276,191.42271970562751,11.949421979856615
7.0,6.041245413042087e-06,2.3804528242406815,7.049173139639227e-07,70.49173139639227,60.41245413042087,238.04528242406815,9135.000126037257,24.608179163483047,54.79632750175678,1340.4095465553307,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07049168170555031,2.555145292567672e-06,1.8699507539398668e-08,6.041208916395947,1.6025754253441055e-09,1.6663169769684771,0.0,63945.0,0.0004053274555292555,0.00034737161124992,63945.0008822608,0.02428061880725495,2.5100342746752706,1.44,0.7890671160252976,0.0002096638951009953,135.31908803036455,19.301897470396764
10.5,8.572931217178946e-06,2.322840364463634,7.073889522666801e-07,70.738895226668,85.72931217178946,232.28403644636342,9135.000121145951,17.29062264780417,57.01873486110733,1664.083688176926,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07073884518675504,3.638635525012325e-06,1.9049351364837062e-08,8.57285772202929,2.3086135790388113e-09,1.625988255124544,0.0,63945.0,0.00040674864755334104,0.0004929435449877894,63945.00084802166,0.023692971717529068,1.7636435100760253,1.44,0.8210697819999456,0.00014732084602520485,95.56430205749831,23.962805109747734
14.0,1.2165564748562908e-05,2.26662225935503,7.098693020020855e-07,70.98693020020855,121.65564748562909,226.662225935503,9135.000154972004,12.168284895034343,59.13172998409624,1857.390206855659,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07098687980876596,5.181572895671971e-06,1.9340685901371312e-08,12.165416747597257,3.3145586392795293e-09,1.586635581548521,0.0,63945.0,0.00040817484865119915,0.0006995199730423673,63945.001084804026,0.023119547045421306,1.2411650592935028,1.44,0.8514969117709859,0.0001036786949875762,67.49396914656677,26.74641897872149
17.5,1.726367225420789e-05,2.211764762329198,7.12358413034116e-07,71.2358413034116,172.6367225420789,221.1764762329198,9135.000198491916,8.582205239445017,61.140744173633685,1960.4747080850548,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07123579055796075,7.378748045772189e-06,1.9578311103153937e-08,17.26337421982819,4.744710969166564e-09,1.5482353336304386,0.0,63945.0,0.0004096060874946167,0.0009926611546169537,63945.001389443416,0.02256000057575782,0.8753849344233916,1.44,0.8804267161003251,7.312462579602073e-05,47.722513715787215,28.23083579642479
21.0,2.4498141208653753e-05,2.1582349435124626,7.148563435972421e-07,71.48563435972422,244.98141208653755,215.82349435124627,9135.000257287453,6.071143578880978,63.05092572411874,2001.6854595919426,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07148558325776502,1.0507583478190212e-05,1.976667075213014e-08,24.497541049731076,6.774039674103385e-09,1.5107644604587238,0.0,63945.0,0.00041104239756841425,0.0014086431194975909,63945.00180101217,0.02201399642382712,0.6192566450458598,1.44,0.9079333304273098,5.172952499941917e-05,33.81885991842939,28.824270618123972
24.5,3.476420211213715e-05,2.106000670024116,7.173631637965613e-07,71.73631637965613,347.6420211213715,210.6000670024116,9135.00034065655,4.3124006692516215,64.86715860832028,2000.9433179179205,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07173626491866526,1.4963124074413755e-05,1.9909879910312647e-08,34.76299356238866,9.648539850175163e-09,1.4742004690168813,0.0,63945.0,0.00041248381918302274,0.001998941621447886,63945.00238459585,0.021481206834245984,0.4398648682636654,1.44,0.934087083959812,3.674424695718787e-05,24.05157383549758,28.813583778018053
28.0,4.933214566309502e-05,2.055030586671307,7.198789605949065e-07,71.98789605949065,493.3214566309502,205.5030586671307,9135.00045860791,3.080130617899742,66.59407887174233,1972.1976143775307,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07198784423691887,2.130788890720726e-05,2.0011749856608367e-08,49.3297120024993,1.3713718292094773e-08,1.438521410669915,0.0,63945.0,0.00041393040234207124,0.0028365983756279637,63945.003210255374,0.02096131198404733,0.31417332302577367,1.44,0.9589547357530894,2.6244660776828526e-05,17.19370334090731,28.39964564703644
31.5,7.000431871683609e-05,2.005294097131113,7.224038449104138e-07,72.24038449104138,700.0431871683609,200.5294097131113,9135.000626257997,2.2163018168599864,68.23608917674628,1925.1794591120988,0.001,100000000.0,0.12,50.0,0.69,10000.0,500000000.0,0.1,10000000.0,0.006,0.012,50.0,0.69,10000.0,500000000.0,0.007,63945.0,5.75e-06,5.75e-06,7.0,1.44,2.88,338000.0,0.0144,8660.0,1420.0,0.012,100000.0,0.0144,0.000102,0.102,0.0,1.0,0.07224033230430987,3.034281148104635e-05,2.0075810870546965e-08,69.99941811219709,1.945437732598915e-08,1.403705867991779,0.0,63945.0,0.00041538221082348795,0.004025248326218075,63945.00438380598,0.020453999790737355,0.2260627853197186,1.44,0.9825996841451463,1.8884341358451767e-05,12.379209129238857,27.722584211214222
