Time,M,N,S,T,a,d,u1,u2,r1,e1,r2,e2,u3,b,r3,e3,Q1,Q2,B0,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death,tumor_killing,virus_therapy,virus_burst,virus_clearance
0.0,0.0,0.2,0.1,0.1,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.002,0.004000000000000001,0.004000000000000001,0.003200000000000001,0.006,0.003200000000000001,0.006,0.0,0.001,0.0,0.0
2.5,0.0024228608616403886,0.19402627105685818,0.12261945144217795,0.09408673919652585,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.002452389028843559,0.004758278984472656,0.004614745739304506,0.0038066231875781256,0.005820788131705746,0.003691796591443605,0.005645204351791551,2.2795907799862918e-05,0.001,1.1397953899931459e-05,7.268582584921166e-05
5.0,0.004695917643928885,0.18978204603150126,0.1411937643789861,0.08993526970444499,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0028238752875797218,0.005359208298146736,0.005079319712003988,0.004287366638517389,0.005693461380945037,0.004063455769603192,0.005396116182266699,4.2232861981660615e-05,0.001,2.1116430990830307e-05,0.00014087752931786656
7.5,0.006826692257056629,0.1868893534816986,0.15652778177484183,0.08708860283453299,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0031305556354968367,0.005850675187564919,0.00545271432782386,0.004680540150051936,0.005606680604450958,0.004362171462259089,0.005225316170071979,5.945270906483864e-05,0.001,2.972635453241932e-05,0.00020480076771169886
10.0,0.008823287251354603,0.18507103039310507,0.16918398753166736,0.08523496834960106,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0033836797506333473,0.006262210979699983,0.0057681567290083875,0.005009768783759988,0.005552130911793152,0.004614525383206711,0.0051140981009760635,7.520526096086481e-05,0.001,3.7602630480432405e-05,0.0002646986175406381
12.5,0.010693956696287829,0.18411515109983567,0.17957877437432843,0.08415098293254805,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0035915754874865685,0.006612634635650556,0.006044692150968804,0.005290107708520446,0.00552345453299507,0.004835753720775044,0.005049058975952883,8.999069674307251e-05,0.001,4.4995348371536254e-05,0.00032081870088863484
15.0,0.012446850981835778,0.18385435177698337,0.1880358386287626,0.0836701528603962,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.0037607167725752524,0.00691424144438652,0.0062931949445205445,0.0055313931555092165,0.005515630553309501,0.005034555955616435,0.005020209171623772,0.0001041429924280772,0.001,5.20714962140386e-05,0.0003734055294550733
17.5,0.01408986106805449,0.18415290033922357,0.19481810966773713,0.08366392836074979,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.003896362193354743,0.007175263986783746,0.006519699348247303,0.005740211189426997,0.005524587010176707,0.005215759478597842,0.005019835701644987,0.00011788131270106283,0.001,5.8940656350531415e-05,0.00042269583204163465
20.0,0.01563051842238933,0.1848980414849745,0.2001482153421951,0.08402942556351231,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.004002964306843902,0.00740140260469696,0.006727335825106727,0.0059211220837575695,0.005546941244549235,0.005381868660085383,0.005041765533810739,0.00013134234842932722,0.001,6.567117421466361e-05,0.00046891555267167994
22.5,0.017075936336161265,0.18599449639275087,0.20422075987753488,0.0846818937949935,0.02,0.02,0.2,0.4,0.8,0.01,0.8,0.04,0.1,0.001,0.5,0.01,5.333333333333334,5.333333333333334,0.0,1.0,0.02,0.004084415197550697,0.0075967874772734,0.006917520279472911,0.0060774299818187215,0.005579834891782526,0.00553401622357833,0.00508091362769961,0.00014460226272688788,0.001,7.230113136344394e-05,0.0005122780900848379
