Time,x_Malignant_Cells,y_Lymphocytes,alpha,k,sigma,compartment,Malignant_Cells_Growth,Malignant_Cells_Death_Lymphocytes,Lymphocytes_Production,Lymphocyte_Death,Lymphocyte_Elimination_Malignant_Cells
0.0,5.3,6.7,2.0,0.2,0.25,1.0,10.6,35.51,0.25,3.35,1.06
0.18,1.4823352506496972,10.778697706315226,2.0,0.2,0.25,1.0,2.9646705012993944,15.977643566168096,0.25,5.389348853157613,0.29646705012993946
0.36,0.2828387848536257,11.251178419995583,2.0,0.2,0.25,1.0,0.5656775697072514,3.1822696324828867,0.25,5.625589209997791,0.056567756970725136
0.54,0.056499349942191864,10.582296478208377,2.0,0.2,0.25,1.0,0.11299869988438373,0.5978928719143196,0.25,5.291148239104189,0.011299869988438373
0.72,0.012973444065563822,9.764638998938691,2.0,0.2,0.25,1.0,0.025946888131127645,0.12668099787315423,0.25,4.882319499469346,0.0025946888131127646
0.8999999999999999,0.003444715707867178,8.978439890990401,2.0,0.2,0.25,1.0,0.006889431415734356,0.03092817292463591,0.25,4.489219945495201,0.0006889431415734357
1.08,0.0010481910492457194,8.25159279150355,2.0,0.2,0.25,1.0,0.002096382098491439,0.00864924570607452,0.25,4.125796395751775,0.0002096382098491439
1.26,0.0003615461697984367,7.585269734083521,2.0,0.2,0.25,1.0,0.0007230923395968733,0.0027424252192459033,0.25,3.7926348670417607,7.230923395968733e-05
1.44,0.00013987078080083897,6.975730466813151,2.0,0.2,0.25,1.0,0.00027974156160167794,0.0009757008670493564,0.25,3.4878652334065756,2.7974156160167795e-05
1.6199999999999999,6.009901895035946e-05,6.418476602416628,2.0,0.2,0.25,1.0,0.00012019803790071892,0.0003857441469610757,0.25,3.209238301208314,1.2019803790071892e-05
1.7999999999999998,2.8422998874901775e-05,5.909123368958069,2.0,0.2,0.25,1.0,5.684599774980355e-05,0.00016795500686755098,0.25,2.9545616844790343,5.684599774980355e-06
1.98,1.4674102752292015e-05,5.443585970927116,2.0,0.2,0.25,1.0,2.934820550458403e-05,7.98797398783198e-05,0.25,2.721792985463558,2.9348205504584033e-06
2.16,8.207981583647612e-06,5.018106948611916,2.0,0.2,0.25,1.0,1.6415963167295223e-05,4.1188529418980714e-05,0.25,2.509053474305958,1.6415963167295224e-06
2.34,4.940028153908137e-06,4.629243924107939,2.0,0.2,0.25,1.0,9.880056307816274e-06,2.2868595316401405e-05,0.25,2.3146219620539696,9.880056307816274e-07
2.52,3.1790275080913028e-06,4.273847697825947,2.0,0.2,0.25,1.0,6.3580550161826055e-06,1.3586679396781372e-05,0.25,2.1369238489129736,6.358055016182606e-07
2.6999999999999997,2.174840259729587e-06,3.949038869369269,2.0,0.2,0.25,1.0,4.349680519459174e-06,8.588528720341295e-06,0.25,1.9745194346846344,4.3496805194591743e-07
2.88,1.5734117348089017e-06,3.6521853267519995,2.0,0.2,0.25,1.0,3.1468234696178034e-06,5.746391250808479e-06,0.25,1.8260926633759997,3.1468234696178034e-07
3.06,1.1979803763860397e-06,3.3808812538588775,2.0,0.2,0.25,1.0,2.3959607527720794e-06,4.0502293970143636e-06,0.25,1.6904406269294387,2.3959607527720795e-07
3.2399999999999998,9.557401358933536e-07,3.1329277806235565,2.0,0.2,0.25,1.0,1.911480271786707e-06,2.9942648227972206e-06,0.25,1.5664638903117782,1.9114802717867073e-07
3.42,7.957304484725741e-07,2.906315229338076,2.0,0.2,0.25,1.0,1.5914608969451481e-06,2.312643520843859e-06,0.25,1.453157614669038,1.591460896945148e-07
3.5999999999999996,6.888635530002112e-07,2.6992068604040247,2.0,0.2,0.25,1.0,1.3777271060004225e-06,1.8593852281404617e-06,0.25,1.3496034302020123,1.3777271060004225e-07
3.78,6.179938478865202e-07,2.509924002320291,2.0,0.2,0.25,1.0,1.2359876957730404e-06,1.551117592096652e-06,0.25,1.2549620011601454,1.2359876957730404e-07
3.96,5.72780493894087e-07,2.336932455556122,2.0,0.2,0.25,1.0,1.145560987788174e-06,1.3385493260905571e-06,0.25,1.168466227778061,1.1455609877881741e-07
4.14,5.469179533458768e-07,2.178830055562016,2.0,0.2,0.25,1.0,1.0938359066917536e-06,1.1916412746764608e-06,0.25,1.089415027781008,1.0938359066917537e-07
4.32,5.366309229339007e-07,2.034335321562221,2.0,0.2,0.25,1.0,1.0732618458678015e-06,1.0916872411669682e-06,0.25,1.0171676607811104,1.0732618458678015e-07
4.5,5.397974973313607e-07,1.9022770637613324,2.0,0.2,0.25,1.0,1.0795949946627214e-06,1.0268443982492165e-06,0.25,0.9511385318806662,1.0795949946627215e-07
4.68,5.554673653056701e-07,1.781584894747074,2.0,0.2,0.25,1.0,1.1109347306113401e-06,9.896122675535368e-07,0.25,0.890792447373537,1.1109347306113402e-07
4.859999999999999,5.83591505233256e-07,1.67128055369366,2.0,0.2,0.25,1.0,1.167183010466512e-06,9.753451339971525e-07,0.25,0.83564027684683,1.1671830104665122e-07
