Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
0.0,1.5,1.0,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.15,0.15000000000000002,0.13333333333333333,0.1
1.0,1.499343878940307,1.033393313892555,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14863680079808758,0.1499343878940307,0.1367906326702396,0.10333933138925551
2.0,1.49743021602924,1.0668984948881661,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1472176032977259,0.14974302160292402,0.14024824623208063,0.10668984948881662
3.0,1.4943206064110504,1.100505959919746,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14574655520519816,0.14943206064110504,0.14370587581918975,0.1100505959919746
4.0,1.4900821044400758,1.1342055946662262,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14422800591033152,0.14900821044400758,0.14716284995227583,0.11342055946662262
5.0,1.484780314742082,1.1679874306650757,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14266609092573432,0.1484780314742082,0.15061840537620044,0.11679874306650757
6.0,1.4784774107920966,1.2018418770817876,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14106462819893595,0.14784774107920967,0.15407178055509266,0.12018418770817876
7.0,1.4712326661637174,1.2357595832588242,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1394271747416001,0.14712326661637173,0.1575221947829332,0.12357595832588242
8.0,1.463103033827381,1.2697313213144061,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.13775708170663695,0.1463103033827381,0.16096882663154613,0.12697313213144062
9.0,1.4541431256068287,1.3037479492764956,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.13605750802956523,0.14541431256068288,0.16441081925884152,0.13037479492764956
10.0,1.4444053004007538,1.337800335416954,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1343314395572583,0.14444053004007537,0.1678472785106244,0.1337800335416954
11.0,1.4339402533691588,1.371879352124954,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1325817337351532,0.1433940253369159,0.1712772594156376,0.1371879352124954
12.0,1.4227958850447788,1.4059758618335754,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.13081106029042636,0.1422795885044779,0.17469981215109123,0.14059758618335755
13.0,1.4110180526744969,1.4400806664196062,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.129021953870405,0.1411018052674497,0.17811395930798882,0.1440080666419606
14.0,1.3986506262848013,1.4741844978156575,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.12721682266429152,0.13986506262848014,0.18151870033827133,0.14741844978156576
15.0,1.3857354566891018,1.5082780127639461,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.12539795058315767,0.1385735456689102,0.18491301940766955,0.1508278012763946
16.0,1.3723126538848145,1.542351767087523,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.12356751785697442,0.13723126538848146,0.18829587963391947,0.1542351767087523
17.0,1.358420547685821,1.5763962266653824,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.12172760071703723,0.1358420547685821,0.19166623184780388,0.15763962266653825
18.0,1.3440958246704922,1.6104017643725554,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11988018153820708,0.13440958246704923,0.19502301520145882,0.16104017643725554
19.0,1.329373364302545,1.64435866058975,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11802714013945202,0.1329373364302545,0.19836516953790148,0.164435866058975
20.0,1.3142866712604306,1.678257109405344,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11617028066244688,0.13142866712604306,0.20169162452671074,0.16782571094053442
21.0,1.2988674680354484,1.7120872127279667,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1143113074429663,0.12988674680354484,0.20500132072243743,0.17120872127279668
22.0,1.283146249166729,1.7458390315516312,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.11245185759478528,0.1283146249166729,0.20829319643213373,0.17458390315516314
23.0,1.2671519896448342,1.779502549382482,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1105934842563315,0.12671519896448344,0.2115662012076769,0.17795025493824823
24.0,1.2509124045856939,1.813067707400313,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10873767137134097,0.1250912404585694,0.21481929241099548,0.18130677074003132
25.0,1.23445399880301,1.846524406685692,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1068858364577538,0.12344539988030101,0.21805143726149195,0.18465244066856923
26.0,1.2178019710127304,1.8798625359578296,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10503932361790817,0.12178019710127304,0.22126162285344209,0.18798625359578297
27.0,1.2009805223416552,1.913072006850226,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10319942137853184,0.12009805223416553,0.22444884904057036,0.1913072006850226
28.0,1.1840125740440792,1.9461427148713921,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.10136734567154249,0.11840125740440793,0.22761214099031438,0.19461427148713922
29.0,1.1669201858659026,1.979064652777889,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09954426272196068,0.11669201858659027,0.2307505421993585,0.1979064652777889
30.0,1.14972419284098,2.0118278015765574,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09773126846537197,0.11497241928409802,0.2338631253257676,0.20118278015765576
31.0,1.132444678656724,2.04442230674585,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09592941371326356,0.1132444678656724,0.23694898623170255,0.204442230674585
32.0,1.115100558568829,2.0768383138937847,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09413968122246606,0.1115100558568829,0.24000725334911843,0.2076838313893785
33.0,1.0977100947571545,2.1090661927492267,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09236301285480297,0.10977100947571546,0.24303708202058705,0.21090661927492269
34.0,1.0802904593149067,2.1410963412205133,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.09060028584299189,0.10802904593149068,0.2460376627528484,0.21410963412205133
35.0,1.062858337445856,2.17291946990935,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08885234482382713,0.10628583374458561,0.24900821423592562,0.21729194699093501
36.0,1.0454292240276815,2.204526264034871,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08711996375305722,0.10454292240276815,0.2519479948789163,0.2204526264034871
37.0,1.0280178133606521,2.2359075738097105,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08540386624598297,0.10280178133606521,0.25485629936084203,0.22359075738097106
38.0,1.0106387284418699,2.2670548444815974,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.08370476426057981,0.101063872844187,0.25773245223395685,0.22670548444815974
