Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
0.0,3.5,2.0,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.19444444444444445,0.35000000000000003,0.16,0.2
1.0,3.350514211946172,1.9624166083163552,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1914453868080777,0.3350514211946172,0.16100931267219942,0.19624166083163552
2.0,3.2124052146596638,1.929404595435713,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1884680538514644,0.3212405214659664,0.16209375327035877,0.1929404595435713
3.0,3.084628923483448,1.9006062993234594,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.18551599177449585,0.3084628923483448,0.16325345435337224,0.19006062993234596
4.0,2.9662168757301686,1.875688737356316,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.18259168789636693,0.2966216875730169,0.16448827359752174,0.1875688737356316
5.0,2.856303742352559,1.8543533392912575,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.179697286509027,0.2856303742352559,0.16579777360672604,0.18543533392912576
6.0,2.7541108572195556,1.8363302170461133,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.17683451614777027,0.27541108572195555,0.16718124292620798,0.18363302170461135
7.0,2.658934604625064,1.8213742144489173,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.17400466680180257,0.26589346046250645,0.16863772378451433,0.18213742144489176
8.0,2.570139803947071,1.8092625999577392,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.17120865721228495,0.2570139803947071,0.17016602672848752,0.18092625999577394
9.0,2.487148600038115,1.7997914163342708,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.16844696208671475,0.24871486000381152,0.1717647769802739,0.1799791416334271
10.0,2.4094413249991447,1.7927756495367815,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.16571983490286268,0.24094413249991448,0.17343240233909335,0.17927756495367816
11.0,2.336547358948234,1.7880460731520882,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1630272634898037,0.23365473589482344,0.17516716101812255,0.17880460731520884
12.0,2.2680452664703217,1.7854493463644305,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.16036915977402375,0.22680452664703218,0.1769671365606453,0.17854493463644305
13.0,2.203550660392841,1.7848438954745625,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1577451810539473,0.22035506603928412,0.1788302903714766,0.17848438954745627
14.0,2.142713597359897,1.7860990377137125,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1551547923491425,0.21427135973598974,0.18075447624850136,0.17860990377137126
15.0,2.0852167729538222,1.7890944466659644,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.15259734554446183,0.20852167729538224,0.1827374525909197,0.17890944466659645
16.0,2.030773201405436,1.7937192840396472,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.15007214075325284,0.20307732014054358,0.18477688367067185,0.17937192840396474
17.0,1.9791228510127366,1.7998711063448767,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14757843724269165,0.19791228510127368,0.18687035698177293,0.1799871106344877
18.0,1.9300296338869924,1.8074548807263913,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.145115460626894,0.19300296338869927,0.18901539963614372,0.18074548807263913
19.0,1.883279050233162,1.8163822009324178,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14268241966480594,0.1883279050233162,0.19120948992127923,0.1816382200932418
20.0,1.8386762276745339,1.8265706375785844,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.14027852603949387,0.1838676227674534,0.19345006645146165,0.18265706375785845
21.0,1.7960438067998954,1.8379430620553945,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.13790299721010912,0.17960438067998954,0.19573454161374287,0.18379430620553946
22.0,1.7552210774935026,1.8504273644285905,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.13555509875412516,0.1755221077493503,0.19806030116945111,0.18504273644285907
23.0,1.7160618288054095,1.863955713273096,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.13323413014460825,0.17160618288054097,0.200424715429707,0.1863955713273096
24.0,1.6784333274153758,1.8784643512089854,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.130939441581975,0.1678433327415376,0.20282515099403545,0.18784643512089855
25.0,1.642214966540563,1.8938931363224347,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.12867043518810783,0.1642214966540563,0.20525897628440543,0.18938931363224348
26.0,1.6072963930578656,1.9101849782496878,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.1264265343592502,0.16072963930578657,0.20772358071019695,0.1910184978249688
27.0,1.5735775293473349,1.9272857924060927,0.3,0.8,0.1,0.3,0.5,0.1,1.0,0.12420723004244671,0.1573577529347335,0.21021636201552749,0.19272857924060927
