Time,P_10,X_1000,T_Cancer_Cell_Total,T_ast,X_Complex,P_Perforin,C_Cancer_Uncomplexed,E_CTL,k,k_1,k_2,k_3,k_4,k_5,k_6,k_p,k_m,k_m_1,k_m_2,E_init,Perc_Lysis,ModelValue_11,compartment,X_Complex_Formation,X_Complex_Dissociation,X_Complex_Apoptosis,P_Production,P_Apoptosis_Perforin,C_Growth,C_Carrying_Capacity_Limit,T_Growth,T_Carrying_Capacity_Limit
0.0,3.15,0.0,1.0,1.0,0.0,0.315,1.0,1.0,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,0.0,1.0,1.0,0.0001,0.0,0.0,0.00037890625,0.9450000000000001,0.035,0.003,0.035,0.003
0.12,2.235740528828139,0.01143355071404013,0.9122010565019876,1.0038466875861947,1.143355071404013e-05,0.22357405288281387,0.9121896229512735,0.9999885664492859,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,9.129444985725273,1.0,1.0,9.121791933849586e-05,1.143355071404013e-09,1.143355071404013e-09,0.0004153777482644836,0.6118257930025862,0.03192663680329458,0.00249626972465996,0.03513463406551682,0.0030231245165333255
0.24,1.6281993994969626,0.02201190308188892,0.8548180922739887,1.0077067742630879,2.201190308188892e-05,0.16281993994969626,0.8547960803709068,0.9999779880969181,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,15.171941470861203,1.0,1.0,8.547772646824309e-05,2.201190308188892e-09,2.201190308188892e-09,0.00044326421775166096,0.4175335394256804,0.02991786281298174,0.002192029017052397,0.03526973709920808,0.0030464188286871536
0.36,1.2063364701571113,0.032020082992468356,0.8158299610290223,1.011580295942348,3.2020082992468355e-05,0.12063364701571114,0.8157979409460298,0.9999679799170075,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,19.350943834959992,1.0,1.0,8.157718190282556e-05,3.2020082992468356e-09,3.2020082992468356e-09,0.0004644506804075414,0.295238042532682,0.028552927933111046,0.001996578841355346,0.03540531035798219,0.0030698840854164263
0.48,0.9044914186696794,0.04163610138972918,0.7887235065191215,1.0154672885437963,4.163610138972918e-05,0.09044914186696794,0.7886818704177317,0.9999583638986103,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,22.32900897771219,1.0,1.0,7.886490327794107e-05,4.163610138972918e-09,4.163610138972918e-09,0.0004804160181025838,0.2140067951559571,0.027603865464620615,0.0018660572781768355,0.035541355099032876,0.0030935214423074694
0.6,0.683910204680632,0.05097764776724178,0.7696588223174256,1.0193677879990688,5.097764776724178e-05,0.0683910204680632,0.7696078446696583,0.9999490223522327,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,24.49645443199657,1.0,1.0,7.695686118720338e-05,5.097764776724178e-09,5.097764776724178e-09,0.0004923195271916727,0.1579027975715538,0.026936274563438042,0.0017768887037312305,0.035677872579967414,0.0031173320616303436
0.72,0.5202672807862992,0.06012572405758115,0.7562280621720437,1.0232818302508646,6.012572405758115e-05,0.05202672807862992,0.7561679364479862,0.9999398742759424,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,26.09777288954215,1.0,1.0,7.561224713032981e-05,6.012572405758115e-09,6.012572405758115e-09,0.0005010667191891482,0.11802283083407426,0.02646587777567952,0.0017153698443360171,0.03581486405878027,0.0031413171123646777
0.84,0.39752217575230203,0.06913781709501846,0.7468448595349435,1.0272094512521817,6.913781709501845e-05,0.0397522175752302,0.7467757217178485,0.999930862182905,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,27.29380959019313,1.0,1.0,7.467240912745893e-05,6.913781709501845e-09,6.913781709501845e-09,0.0005073655025540654,0.08905797290888243,0.026137150260124697,0.0016730219356416404,0.03595233079382636,0.0031654777702254245
0.96,0.30472478019604116,0.07805560380359933,0.7404271013430751,1.0311506869655505,7.805560380359932e-05,0.030472478019604114,0.7403490457392715,0.9999219443961964,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,28.194093190977824,1.0,1.0,7.40291257347481e-05,7.805560380359932e-09,7.805560380359932e-09,0.0005117666029991794,0.06768081006937449,0.025912216600874505,0.0016443501285811498,0.03609027404379427,0.0031898152176885798
1.08,0.23416238268263448,0.08690984624966036,0.7362130786711574,1.0351055733622578,8.690984624966036e-05,0.02341623826826345,0.7361261688249077,0.9999130901537503,0.035,0.0001,0.0001,0.0001,3.0,0.003,0.63,0.097,1.0,2.2,80.0,1.0,28.87555650195466,1.0,1.0,7.360621922127548e-05,8.690984624966036e-09,8.690984624966036e-09,0.0005146992806202193,0.05171191729412389,0.025764415908871772,0.0016256452092865093,0.03622869506767903,0.003214330644016826
