Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
0.0,100.0,75.0,10.0,0.1,100.0,0.06,0.1,1.0,2.1576155433883564,4.285714285714286,6.0,1.0
1.0,99.3040345281616,71.97990873160045,14.728679957263257,0.1,100.0,0.06,0.1,1.0,2.366578122355753,6.189541289652318,5.958242071689695,1.4728679957263258
2.0,100.28189903816363,67.52654120800938,19.01872303545278,0.1,100.0,0.06,0.1,1.0,2.651426009711806,7.65318230056374,6.0169139422898175,1.901872303545278
3.0,102.40839722022605,62.12844123103101,22.992152954512974,0.1,100.0,0.06,0.1,1.0,2.9571044984430137,8.6817434749271,6.144503833213562,2.2992152954512974
4.0,105.20861434604257,56.203372248040154,26.7305630696702,0.1,100.0,0.06,0.1,1.0,3.238401363505452,9.307535445818399,6.312516860762554,2.67305630696702
5.0,108.27478344298284,50.08957634269515,30.282585673474053,0.1,100.0,0.06,0.1,1.0,3.462979208334845,9.578177116356857,6.49648700657897,3.0282585673474056
6.0,111.27337884369855,44.04756274664321,33.67110420815293,0.1,100.0,0.06,0.1,1.0,3.6114603936697125,9.548809453326177,6.676402730621913,3.3671104208152935
7.0,113.94530235712624,38.26770612350851,36.899987266867036,0.1,100.0,0.06,0.1,1.0,3.675857426874501,9.276985474400664,6.836718141427574,3.689998726686704
8.0,116.10209095477231,32.87982587878664,39.95995042023032,0.1,100.0,0.06,0.1,1.0,3.6572589092256558,8.819031462791344,6.9661254572863385,3.9959950420230324
9.0,117.61931330250829,27.96360637811571,42.833680550510586,0.1,100.0,0.06,0.1,1.0,3.5633081051204805,8.227504883595524,7.057158798150497,4.283368055051059
10.0,118.42818351208936,23.558965202155235,45.50021273501761,0.1,100.0,0.06,0.1,1.0,3.4058341979780655,7.549541900248049,7.105691010725361,4.550021273501762
11.0,118.50641143679864,19.674893719477744,47.93799015924458,0.1,100.0,0.06,0.1,1.0,3.1987969368483586,6.825632891814286,7.110384686207919,4.793799015924458
12.0,117.86890030884942,16.297695163486615,50.12732110223544,0.1,100.0,0.06,0.1,1.0,2.956640646267156,6.089144587818754,7.0721340185309645,5.012732110223545
13.0,116.55858783388125,13.398083781425797,52.05212652045393,0.1,100.0,0.06,0.1,1.0,2.6930932063201642,5.3663943794038635,6.993515270032875,5.205212652045393
14.0,114.63811284500815,10.936829358014672,53.70090745092907,0.1,100.0,0.06,0.1,1.0,2.4203577977816204,4.67702911789365,6.878286770700488,5.370090745092908
15.0,112.18256769951776,8.869340899272208,55.06722367421137,0.1,100.0,0.06,0.1,1.0,2.1486596514107745,4.034715229165217,6.730954061971065,5.506722367421137
