Time,C,I,U,V,r,K,beta,alpha,delta_u,K_c,delta,delta_i,b,gamma,mu,psi,compartment,Tumor_Growth,Tumor_Cell_Infection,Uninfected_Tumor_Lysis_Drug,Infected_Tumor_Lysis_Drug,Infected_Tumor_Death,Virus_Production,Virus_Decay,Drug_Injection,Drug_Decay
0.0,30.0,10.0,100.0,10.0,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,19.467,6.4434389140271495,11.964107676969093,1.7946161515453638,10.0,10.0,0.01,203.0,125.1
0.5,46.35893678196344,7.942716685730238,98.15268152426187,10.977981507033927,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,19.14685696733335,7.197243582764253,18.117027219101047,2.1991006076601165,7.942716685730238,7.942716685730238,0.010977981507033928,203.0,193.31676638078756
1.0,48.392235650319854,6.860131290988175,94.77828034456805,11.009419029902181,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,18.532115022188567,7.273846303413201,18.25777803813838,1.9822698929754563,6.860131290988175,6.860131290988175,0.011009419029902181,203.0,201.7956226618338
1.5,48.645046122225665,6.244038698657643,91.29786798735063,10.67373275252603,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,17.8901078890493,7.076934982384982,17.678757598545676,1.813626906459654,6.244038698657643,6.244038698657643,0.010673732752526031,203.0,202.84984232968102
2.0,48.67653611631343,5.82414300254182,87.93939385956398,10.213190137796893,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,17.266227749498587,6.783926716008789,17.039398435671686,1.6927548987622396,5.82414300254182,5.82414300254182,0.010213190137796892,203.0,202.981155605027
2.5,48.68048554588107,5.489263644846835,84.74561139939716,9.721674520996025,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,16.66995395379303,6.464933207905816,16.421887497524892,1.5955528881918495,5.489263644846835,5.489263644846835,0.009721674520996025,203.0,202.99762472632406
3.0,48.6809670161111,5.195738376623805,81.7219320621629,9.23437327334947,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,16.103100769069762,6.14648485716106,15.836118958376503,1.5102493712378633,5.195738376623805,5.195738376623805,0.00923437327334947,203.0,202.99963245718328
3.5,48.68104236938329,4.926371869377235,78.86389130290645,8.7639276017915,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,15.565334909071456,5.8382080483177665,15.282309858353253,1.4319546019381482,4.926371869377235,4.926371869377235,0.008763927601791502,203.0,202.99994668032832
4.0,48.68105413875904,4.674186688042868,76.16408492205633,8.314377180454082,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,15.055633276605626,5.543256882434779,14.759142703579199,1.3586519503764891,4.674186688042868,4.674186688042868,0.008314377180454082,203.0,202.99999575862518
4.5,48.68105443670577,4.436115544609681,73.61440198528923,7.8865333901953045,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.57276566519118,5.262351792820543,14.265063010589474,1.289451507982604,4.436115544609681,4.436115544609681,0.007886533390195304,203.0,202.99999700106306
5.0,48.68105531081166,4.210595838685029,71.20679285958923,7.480020327924498,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,14.115465600445319,4.995315648399779,13.798514661269456,1.2238994219415549,4.210595838685029,4.210595838685029,0.007480020327924498,203.0,203.0000006460846
5.5,48.681053685225,3.996675302250995,68.93352334310494,7.094029981279182,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.682490246953714,4.741642282287238,13.357998060239844,1.1617188200830018,3.996675302250995,3.996675302250995,0.007094029981279182,203.0,202.99999386738827
6.0,48.681052260692766,3.793644866157662,66.78726268032,6.727630073238873,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,13.272643834056154,4.500728097710673,12.942093426909281,1.1027036664461476,3.793644866157662,3.793644866157662,0.006727630073238873,203.0,202.99998792708882
6.5,48.68105363411161,3.6008932352339595,64.76109758726658,6.37988329926486,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,12.884784754408589,4.271961743814297,12.549461758106084,1.0466763296367443,3.6008932352339595,3.6008932352339595,0.0063798832992648605,203.0,202.99999365424543
7.0,48.68105532211932,3.4178787201899157,62.84851117425064,6.049867225406796,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,12.517824675482558,4.05473930440359,12.178839521495608,0.9934792963126404,3.4178787201899157,3.4178787201899157,0.006049867225406796,203.0,203.00000069323755
7.5,48.68105506030966,3.244110907131839,61.04335920391653,5.7366857459831175,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,12.170726713585928,3.8484731143019237,11.829035528899215,0.9429699728342408,3.244110907131839,3.244110907131839,0.005736685745983117,203.0,202.99999960149128
8.0,48.681054950161915,3.079118070351388,59.339858602735525,5.439493621955997,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,11.842505747422951,3.6526101538650195,11.498929666800667,0.8950112865228512,3.079118070351388,3.079118070351388,0.005439493621955996,203.0,202.99999914217517
8.5,48.68105533860436,2.9224499903346906,57.73256107775341,5.157490454335037,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,11.5322253615077,3.46662768517689,11.187466236366745,0.8494723770431756,2.9224499903346906,2.9224499903346906,0.005157490454335037,203.0,203.00000076198017
9.0,48.68105520893525,2.773686070653968,56.21632781246171,4.889910427675913,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,11.238994727681277,3.290025774385006,10.893649197726074,0.8062309709855927,2.773686070653968,2.773686070653968,0.004889910427675913,203.0,203.00000022126
9.5,48.68105505748528,2.632427765077376,54.78631287044437,4.636025822219843,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,10.961967059135826,3.1223300087306343,10.616539618004463,0.7651712315145318,2.632427765077376,2.632427765077376,0.004636025822219844,203.0,202.9999995897136
10.0,48.68105519566378,2.4982945616609156,53.43794514271839,4.395147457438933,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,10.700337575392293,2.9630919205105544,10.355251769844827,0.7261825593819102,2.4982945616609156,2.4982945616609156,0.0043951474574389325,203.0,203.00000016591795
10.5,48.681055194700555,2.3709262707130927,52.16690966789509,4.166619920446317,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,10.453341144414527,2.811885552695312,10.108949403133598,0.6891602510609087,2.3709262707130927,2.3709262707130927,0.004166619920446317,203.0,203.0000001619013
11.0,48.68105494252585,2.249981431339865,50.969132770116765,3.949820404637281,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,10.220250544586921,2.6683066840113656,9.876843096874032,0.654005052483052,2.249981431339865,2.249981431339865,0.003949820404637281,203.0,202.99999911033277
11.5,48.68105476928556,2.1351371225879006,49.84076649173852,3.744156322773227,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,10.000374453148543,2.5319711523740875,9.65818725901716,0.6206231044937239,2.1351371225879006,2.1351371225879006,0.003744156322773227,203.0,202.99999838792078
12.0,48.68105481406678,2.026086905307464,48.77817480639636,3.549064655909519,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,9.793055676773259,2.40251444951041,9.45227732287399,0.5889253355180388,2.026086905307464,2.026086905307464,0.003549064655909519,203.0,202.9999985746585
12.5,48.68105488462323,1.9225390129266173,47.77792205847595,3.3640113769765616,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,9.597669714246049,2.2795913543267305,9.258447484991349,0.5588269347684136,1.9225390129266173,1.9225390129266173,0.0033640113769765616,203.0,202.99999886887886
13.0,48.68105509327941,1.8242180936606671,46.83675812557456,3.1884876029260667,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,9.41362256941489,2.1628731791005644,9.076067954394965,0.530247866557415,1.8242180936606671,1.8242180936606671,0.003188487602926067,203.0,202.99999973897513
13.5,48.68105517385259,1.7308602811770124,45.951610914737294,3.0220120739500524,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,9.240349952959557,2.0520496255837397,8.904543368369577,0.5031114295511911,1.7308602811770124,1.7308602811770124,0.0030220120739500524,203.0,203.0000000749653
14.0,48.681055172881116,1.642216117406546,45.11957463198392,2.864126741451617,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,9.077315547101525,1.946825604589566,8.743310649334756,0.4773451141198786,1.642216117406546,1.642216117406546,0.0028641267414516174,203.0,203.00000007091424
14.5,48.68105511743264,1.5580489951778165,44.33789962083199,2.714396199703703,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.92400953572922,1.8469208720689063,8.591836972012219,0.45288014572590357,1.5580489951778165,1.5580489951778165,0.0027143961997037032,203.0,202.9999998396941
15.0,48.68105512015521,1.4781350151787165,43.60398338563289,2.572406126955735,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.779947303441347,1.7520689354675367,8.449618042450426,0.4296514443292945,1.4781350151787165,1.4781350151787165,0.0025724061269557347,203.0,202.99999985104722
15.5,48.681055144535804,1.4022616276453317,42.91536217749048,2.4377628204827135,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.644668200289392,1.6620167561019976,8.316176426519451,0.40759722742431326,1.4022616276453317,1.4022616276453317,0.0024377628204827135,203.0,202.9999999527143
16.0,48.6810551819863,1.330226712006201,42.26970330690943,2.3100924661370104,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.517734402294879,1.5765242542706397,8.191060092005598,0.3866587442637463,1.330226712006201,1.330226712006201,0.00231009246613701,203.0,203.0000001088829
16.5,48.681055176779694,1.2618381462287922,41.66479699131194,2.1890399521394,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.398729637742106,1.4953634861439122,8.073840816028163,0.3667801500521319,1.2618381462287922,1.2618381462287922,0.0021890399521394,203.0,203.00000008717132
17.0,48.681055158441,1.1969132584276196,41.09855062721912,2.0742681340666627,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.287258356035125,1.4183181393923885,7.964113097165419,0.3479083475744703,1.1969132584276196,1.1969132584276196,0.0020742681340666625,203.0,203.00000001069895
17.5,48.68105514061139,1.1352788924103725,40.568981625647346,1.9654564064990765,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.182944578880518,1.3451825353673634,7.861492749862001,0.3299930053992239,1.1352788924103725,1.1352788924103725,0.0019654564064990766,203.0,202.9999999363495
18.0,48.68105514532462,1.0767705614195666,40.07421116324119,1.8623001474045777,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,8.085430907113185,1.2757612632768809,7.765615697571422,0.3129863120841385,1.0767705614195666,1.0767705614195666,0.0018623001474045778,203.0,202.99999995600368
18.5,48.681055161454154,1.0212322030463112,39.61245891092373,1.7645098409166247,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.994377692426203,1.2098685781644842,7.676136944690919,0.29684290467323654,1.0212322030463112,1.0212322030463112,0.0017645098409166248,203.0,203.00000002326382
19.0,48.68105519098426,0.9685152620581947,39.18203816864025,1.6718108153448321,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.909462269487484,1.1473282440287909,7.592729641259672,0.2815196024231031,0.9685152620581947,0.9685152620581947,0.0016718108153448322,203.0,203.00000014640437
19.5,48.68105518541608,0.9184789606727862,38.781347758308776,1.5839414736924748,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.8303775212604645,1.0879723067274483,7.515083502079394,0.26697548499511303,0.9184789606727862,0.9184789606727862,0.001583941473692475,203.0,203.00000012318503
20.0,48.681055200091095,0.8709890240704918,38.40887372488128,1.5006544288250983,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.756832372635263,1.0316419174075067,7.442905160201813,0.2531715228687082,0.8709890240704918,0.8709890240704918,0.0015006544288250982,203.0,203.00000018437987
20.5,48.68105518265539,0.825918265337228,38.06317385637463,1.4217132339392238,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.688548860135009,0.9781850644093909,7.375915134547967,0.24007074618319918,0.825918265337228,0.825918265337228,0.001421713233939224,203.0,203.000000111673
21.0,48.68105517213949,0.7831455231030918,37.742888140786675,1.3468948544498054,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.625264327756364,0.9274583221524672,7.31384988676427,0.22763793701088403,0.7831455231030918,0.7831455231030918,0.0013468948544498054,203.0,203.00000006782165
21.5,48.681055162029644,0.7425556636117567,37.44671970867652,1.275986234803296,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.566727761640777,0.8793244866967778,7.256458107360041,0.21583962923726363,0.7425556636117567,0.7425556636117567,0.001275986234803296,203.0,203.0000000256636
22.0,48.68105515483226,0.7040393279841978,37.17344283848306,1.2087857380587248,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.512701473654884,0.8336535958264812,7.203502275303592,0.20464403538325868,0.7040393279841978,0.7040393279841978,0.0012087857380587248,203.0,202.9999999956505
22.5,48.681055153083435,0.6674924890063638,36.92189443214813,1.1451018642029396,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.462959501328294,0.7903220685844353,7.154757004795174,0.1940209177298406,0.6674924890063638,0.6674924890063638,0.0011451018642029396,203.0,202.99999998835793
23.0,48.68105515643645,0.6328162553646701,36.69097012328168,1.0847526014757811,0.206,2000.0,0.712,0.5,40.0,10000.0,1.0,60.0,1.0,0.001,203.0,4.17,1.0,7.417286914512639,0.7492122793880622,7.110008290682408,0.18394153140419778,0.6328162553646701,0.6328162553646701,0.001084752601475781,203.0,203.00000000234
