Time,x,y,z,t,tau,R,Dx,Dy,Dz,p,mu,compartment,Formation_of_tumor_system,Removal_of_tumor_system,Formation_of_effector_cell_against_tumor_cell,Removal_of_effector_cell_functioning_against_tumor_cell,Formation_of_tumor_detecting_cell,Removal_of_tumor_detecting_cell
0.0,1e-06,0.01,0.0,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,1.7480000000000002e-06,1.0001e-08,0.0,0.0005,1.1259999999999999e-06,0.0
2.0,4.5269220317838425e-05,0.009048387405227913,2.863089211680805e-06,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,8.694683066347017e-05,4.1166274527660176e-07,2.590634036301651e-08,0.0004524193702613956,5.0973142077886065e-05,4.550021375203135e-05
4.0,0.002070766039441262,0.00818786829908053,0.0001309743600617099,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,0.003977259039911794,2.1243231599256903e-05,1.0724008107416335e-06,0.00040939341495402646,0.0023316825604108604,0.0020814445301006934
6.0,0.09061366588767922,0.007430998616474168,0.005756728665316516,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,0.17410855722797738,0.008884186471448959,4.2778242747384215e-05,0.00037154993082370836,0.1020309877895268,0.09148593194921008
8.0,1.3392159957179761,0.007252630676376067,0.0912348677138523,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,2.5900207493738394,1.803212322199728,0.0006616928003365975,0.0003626315338188033,1.507957211178441,1.4499045177085406
10.0,1.9146681600406161,0.008389090763538902,0.13548475188952325,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.716713316409396,3.6820164880499573,0.0011365938806767594,0.0004194545381769451,2.1559163482057335,2.1531236770283035
12.0,1.9314732484043957,0.00997452199356768,0.13685083504009946,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7498180178703557,3.749854431698026,0.0013650216639455744,0.0004987260996783839,2.1748388777033494,2.1748334704572603
14.0,1.9300669096606318,0.011865817786502265,0.1367557991166895,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7471002896753474,3.748060098032732,0.001622719393566145,0.0005932908893251132,2.1732553402778714,2.1733231595624294
16.0,1.9279287451341738,0.014112033924470834,0.13660521761933817,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7429516905953295,3.744116242169926,0.0019277774653038212,0.0007056016962235416,2.1708477670210793,2.170930118406522
18.0,1.9253813615020607,0.016777926135947974,0.13642570104907528,1.0,0.3,1.0,2.1,0.01,1.2,0.06,20.0,1.0,3.7380087837695783,3.7393972934863418,0.0022889403352463053,0.0008388963067973986,2.16797941305132,2.1680772410719045
