Time,C_para__Basolateral___HepG2_,C_para_Apical,C_glu__Basolateral___HepG2_,C_glu_Apical,C_sulf__Basolateral___HepG2_,C_sulf_Apical,C_para_Caco_2,C_sulf_Caco_2,C_glu_Caco_2,P_para,Ai,Mp_s_caco,Mp_g_caco,V_api,V_caco,Mp_s_HepG2,V_basol,P_sulf,P_glu,Mp_g_HepG2,time_threshold,Apical,Caco_2,Basolateral___HepG2
0.0,5.0,2500.0,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.1,13.414599381816377,2490.0154543988606,1.2581571523244843,0.5494968853632373,0.9187120868644243,0.4569081144545893,1082.3048255507524,162.1851703837569,162.5167455156966,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.2,21.369106812212987,2480.402254771807,3.111431933073633,1.1800312278269416,2.2277006746510692,0.9900090071330993,1081.6015430931802,163.0051416771421,163.64033656371262,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.30000000000000004,28.537559750002337,2470.848790300837,5.406015485822218,1.812817797934928,3.798554138699506,1.5241576725160977,1080.5829206483188,163.8974633982603,164.93765242881918,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.4,34.994340239526984,2461.3526084519594,8.096475002822597,2.4484956026473235,5.604352443610831,2.0596121984567,1079.2801539526872,164.8663590081266,166.3933440187053,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.5,40.80680513067845,2451.9114763085604,11.14168986742619,3.0876359799352757,7.620734001293126,2.5966067340204364,1077.7215159965385,165.903831934663,167.99122470745448,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.6000000000000001,46.035942261769605,2442.5233601120735,14.504447786617128,3.7307482154093563,9.825651465259552,3.1353498025887006,1075.9325990671634,167.00275998009985,169.7166402820617,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.7000000000000001,50.736985593529916,2433.186406071729,18.151067205573245,4.378285586334913,12.199148237537575,3.6760268547601593,1073.9365774343767,168.1566394475553,171.55632755611583,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.8,54.959931726135935,2423.8989242525763,22.051080262830368,5.030650440107751,14.723170705337749,4.218802334894877,1071.7544215204493,169.35960391991446,173.4982847876057,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
0.9,58.75007101412327,2414.6593720064175,26.176906780876806,5.6881994133521925,17.381375218631636,4.763821842445095,1069.405123392672,170.60633269816137,175.53164606884195,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.0,62.14841423207724,2405.466340661903,30.503592372785068,6.351247625501599,20.158973011691586,5.311213855512647,1066.9058749390963,171.89201558587519,177.646576901861,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.1,65.1920968302864,2396.318542913014,35.008560303392855,7.020072651158353,23.042583278869888,5.861091370674189,1064.2722386025791,173.21229857648706,179.83417739040766,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.2000000000000002,67.91475244565876,2387.2148011667923,39.67138222315939,7.694918190343735,26.020097421704904,6.413553415715517,1061.518304240953,174.56324062146385,182.08639203244664,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.3,70.34683852673268,2378.154037384674,44.473578295625856,8.37599726782407,29.080560700443264,6.968686368274985,1058.6568260894962,175.9412759749376,184.39593111344388,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.4000000000000001,72.51593013417454,2369.1352639164966,49.398436859637826,9.063495119440603,32.21406545272007,7.526565145728801,1055.6993463316467,177.3431795310391,186.756199848455,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.5,74.44698881038943,2360.1575751121386,54.4308493948479,9.757571833221927,35.411653373939636,8.087254294308337,1052.6563082007442,178.76603418548328,189.1612336085596,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.6,76.16262015239539,2351.22013928554,59.557152421545425,10.458364879431844,38.665221903032325,8.650809032035179,1049.537164279612,180.20720070191462,191.6056357663273,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.7000000000000002,77.68329776310222,2342.322191727448,64.76499003833909,11.165991309997816,41.96744282800062,9.217276155235314,1046.3504706953943,181.66429194868482,194.0845236332218,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.8,79.02756206901513,2333.4630285021403,70.04319188748559,11.880549710743159,45.31169002698482,9.786694843599296,1043.1039707434957,183.13514880053972,196.59348055928714,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
1.9000000000000001,80.21220085002547,2324.6420008145865,75.38166234588459,12.602121973793125,48.69197385591191,10.359097390896942,1039.8046708057611,184.61781883861366,199.12851238425475,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.0,81.25241289538562,2315.858509903939,80.77128007369605,13.33077490404536,52.10288166894955,10.93450986722318,1036.4589091804476,186.11053724506547,201.68600795090617,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.1,82.16195219904844,2307.112002544048,86.20380950842485,14.066561634259685,55.53952541218041,11.512952702457813,1033.0724167271374,187.61170969038716,204.26270433566935,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.2,82.95328512867539,2298.4019661392977,91.67180439540451,14.80952316773746,58.99748450187594,12.09444132228962,1029.6503829657315,189.1198937748146,206.85564893926795,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.3000000000000003,83.63769923364077,2289.727925328929,97.16854100360389,15.559689445421455,62.47276627989757,12.678986588217455,1026.1975018388694,190.6337861290279,209.46217325001095,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.4000000000000004,84.22541146243547,2281.0894386097966,102.6879517039481,16.31708040720333,65.96176668369175,13.266595235119192,1022.7180172233778,192.15220971212656,212.07986673647224,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.5,84.72570492073955,2272.486094068866,108.22454102859764,17.08170733388271,69.46122054306278,13.85727042455095,1019.2157804465496,193.67409761976344,214.7065438669024,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.6,85.14693845589507,2263.9175090825624,113.77337979284889,17.853572938556482,72.96819809891745,14.451011782517371,1015.6942543166326,195.19849197742704,217.34024179758467,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.7,85.49672190595665,2255.3833248486485,119.32999752758961,18.632673087091558,76.48004131024477,15.047816108790554,1012.1565868267039,196.72452323063962,219.97917810524336,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.8000000000000003,85.78190877823555,2246.883206612918,124.89038697848375,19.418996723288853,79.99436651741846,15.647677346167223,1008.6056080750413,198.25141100732623,222.6217525546977,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
2.9000000000000004,86.00871837806805,2238.416839858025,130.45092914508726,20.212527067003812,83.50902005604107,16.250587074455375,1005.0438816283008,199.77844970818688,225.266517642386,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.0,86.1827833780827,2229.9839288180056,136.00836408660737,21.013242079085355,87.02206096988678,16.856534702237315,1001.4737245271701,201.3050028820652,227.91216712457518,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.1,86.30919418163116,2221.584195092814,141.55976369543566,21.82111489482419,90.53174488899577,17.465507645644518,997.8972259436982,202.83049799445027,230.5575253178924,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.2,86.39258008315664,2213.2173751150463,147.10248188380007,22.636114619196853,94.03649453374071,18.07749165627803,994.316281314408,204.35441683919663,233.20152752531362,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.3000000000000003,86.43711602049936,2204.8832199376725,152.63415044397212,23.45820639049778,97.53489726288673,18.69247084753839,990.7325951794182,205.87629474250033,235.84321840851362,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.4000000000000004,86.44659323234005,2196.581493028387,158.15263568185932,24.28735207232711,101.02567939498913,19.310427979978297,987.1477108983232,207.39571222100616,238.48173494676485,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.5,86.42444026215229,2188.3119696127865,163.65602552918224,25.12351045735582,104.50769857661605,19.93134454539923,983.5630194831672,208.91229250075114,241.11630137200018,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.6,86.37375572179684,2180.0744356507544,169.1426094372239,25.96663758675406,107.97993187644195,20.555200898623806,979.9797733772108,210.42569765041324,243.7462212674004,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.7,86.29735442765129,2171.8686863956914,174.6108500622544,26.81668720105739,111.44145901905655,21.181976443454154,976.399105857811,211.93562313260045,246.37086644076382,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
3.8000000000000003,86.19777562020998,2163.694526136508,180.05937822494508,27.673610818304955,114.89145939967561,21.811649664976418,972.8220344926617,213.44179683412628,248.98967494295437,103.8,0.33,14.9,17.6,500.0,0.33,0.35,380.0,49.9,58.9,0.59,6.0,1.0,1.0,1.0
