Time,Exposed_Human,Infected_Human,Recovered,Susceptible_Human,Exposed_Mosquito,Infected_Mosquito,Susceptible_Mosquito,Capital_lambda_h,Psi_h,Psi_v,sigma_v,sigma_h,Beta_hv,Beta_vh,Beta_tilde_vh,v_h,v_v,gamma_h,delta_h,rho_h,u_1h,u_2h,u_1v,u_2v,N_h,N_v,f_h,f_v,lambda_h,lambda_v,Baseline_dummy_variable,Human,Mosquito,Human_Immigration,Human_Birth,Human_Loss_of_Immunity,Human_Infection,Human_Susceptible_natural_death,Human_disease_progression,Human_Exposed_natural_death,Human_Recovery,Human_disease_induced_death,Human_Infectious_natural_death,Human_Recovered_natural_death,Mosquito_birth,Mosquito_infection,Mosquito_Susceptible_death,Mosquito_disease_progression,Mosquito_Exposed_death,Mosquito_Infected_death
0.0,20.0,3.0,0.0,600.0,30.0,5.0,2400.0,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,623.0,2435.0,0.0001334,0.13040000000000002,4.482189263306006e-05,0.0002933796608709385,0.0,1.0,1.0,0.041,0.034265000000000004,0.0,0.026893135579836035,0.08004,2.0,0.002668,0.0105,5.4e-05,0.00040019999999999997,0.0,316.55,0.7041111860902525,312.96000000000004,2.49,3.9120000000000004,0.6520000000000001
10.0,7.638691675419828,15.416814050212434,0.3549747232531159,599.509322218547,15.453873537693921,9.241244790199099,2404.0860306473023,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.9198026674325,2428.7811489751957,0.00013338396053348648,0.13015124595900784,8.289907814938378e-05,0.001512172175829551,0.0,1.0,1.0,0.041,0.034260589146708785,0.000958431752783413,0.04969877015387943,0.07996492777425591,0.7638691675419829,0.00101887894896167,0.05395884917574352,0.00027750265290382383,0.002056355716825635,4.73479344767789e-05,315.7415493667755,3.63539200384536,312.8947922813919,1.2826715036285956,2.011340895823804,1.2027595236566029
20.0,3.150322369433778,19.778483488460463,0.9658271172081178,598.9437468561607,20.025391571557652,10.985533905444699,2395.4210579428905,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.8383798312631,2426.4319834198927,0.0001333676759662526,0.13005727933679573,9.857819365442708e-05,0.0019456146684008041,0.0,1.0,1.0,0.041,0.03425611089071947,0.002607733216461918,0.05904279266569476,0.07987973555272566,0.3150322369433778,0.00042015117295588123,0.06922469220961162,0.00035601270279228835,0.0026378103769928722,0.00012881011800723211,315.4361578445861,4.66056634732986,311.54194566212124,1.6621075004392851,2.6044479454507883,1.4287486518042618
30.0,1.5744521633317912,21.2481594245795,1.651455761307968,598.2825750322183,22.733597760531566,13.139363613944067,2389.6696811630663,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.7566423814376,2425.542642537542,0.00013335132847628752,0.13002170570150168,0.00011792734991051125,0.0020965849868484114,0.0,1.0,1.0,0.041,0.03425161533097907,0.004458930555531514,0.07055387857118611,0.07978177618476048,0.15744521633317912,0.00020995528760265917,0.07436855798602826,0.000382466869642431,0.0028334702869436254,0.0002202238196902363,315.32054352988047,5.010145577053315,310.70892800798555,1.8868886141241201,2.955861157556153,1.708402468917255
40.0,1.0526719525277157,21.726955869751233,2.3483893685798836,597.5468943256461,23.802753296827454,14.47742695210489,2386.925499857205,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.674911516505,2425.2056801061376,0.000133334982303301,0.1300082272042455,0.0001299539123290603,0.0021505738802861884,0.0,1.0,1.0,0.041,0.03424712013340778,0.006340651295165686,0.07765355671769728,0.07967390458030249,0.10526719525277158,0.00014035799616146427,0.07604434554412931,0.0003910852056555222,0.0028969632763978822,0.00031312245490085894,315.2767384137979,5.133259634181959,310.3199527050428,1.9756285236366788,3.0945537587005476,1.8821846125221202
50.0,0.8912432960735109,21.88620291065525,3.035787881946073,596.7800603158005,24.21646697846896,15.130189428037507,2385.7313102832463,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.5932944044753,2425.0779666897524,0.00013331865888089505,0.13000311866759012,0.00013582866522681927,0.002173144765844397,0.0,1.0,1.0,0.041,0.03424263119224614,0.008196627281254398,0.08105983902667588,0.07956191728816217,0.0891243296073511,0.00011881936096910895,0.07660171018729338,0.00039395165239179453,0.0029178392200436996,0.0004047271690679234,315.2601356696678,5.184539509653132,310.1525106397381,2.009966759212924,3.148216230311678,1.9669718116762775
60.0,0.8457027162883042,21.94930512269941,3.707476697625026,596.0093399014611,24.410895284535695,15.429717908897082,2385.1889424449155,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.5118244380739,2425.0295556383485,0.00013330236488761477,0.13000118222553395,0.00013853222284807278,0.0021861330752767547,0.0,1.0,1.0,0.041,0.03423815034409406,0.010010187083587571,0.08256649869476196,0.07944945450397098,0.08457027162883042,0.00011273417207311048,0.07682256792944794,0.0003950874922085894,0.002925894280495669,0.0004942154115591403,315.25384223298533,5.214340437863213,310.07738234911005,2.0261043086164627,3.173445246173352,2.005881569563114
70.0,0.8351688355950533,21.98616731978678,4.362023951702538,595.2471509615171,24.53847564729868,15.580002475202908,2384.892726166389,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.4305110686015,2425.0112042888904,0.0001332861022137203,0.13000044817155562,0.00013989583009156738,0.002196379175317697,0.0,1.0,1.0,0.041,0.034233678108773084,0.011777464669596853,0.08327259429340196,0.07933817260548258,0.08351688355950533,0.00011131639878683604,0.07695158561925373,0.00039575101175616203,0.0029304505446730578,0.0005813971702853206,315.25145655755574,5.2381287191185075,310.0371232427136,2.0366934787257907,3.1900128315956318,2.025407304290324
80.0,0.8345006855281961,22.0172685336391,4.999430986110331,594.4981562442935,24.647137831167303,15.674052423360123,2384.683057690424,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.3493564495711,2425.004247944951,0.00013326987128991423,0.13000016991779806,0.00014075454340682847,0.0022058922651753614,0.0,1.0,1.0,0.041,0.034229214604726416,0.013498463662497896,0.0836783165383669,0.07922869276476831,0.08345006855281961,0.00011121379895168788,0.07706043986773685,0.00039631083360550383,0.0029342385436335614,0.0006662735240417329,315.2505522328437,5.260353911854036,310.00920269984937,2.0457124399868865,3.204132106039138,2.0376294783372906
90.0,0.8363795382899188,22.04814686489062,5.620095041878322,593.7637392162895,24.7508004420588,15.748520676875344,2384.5022893991577,0.041,5.5e-05,0.13,0.33,4.3,0.022,0.24,0.024,0.1,0.083,0.0035,1.8e-05,0.0027,8.8e-06,2e-07,0.033,4e-05,622.2683606613485,2425.0016105180916,0.0001332536721322697,0.13000006442072368,0.00014143748116322895,0.0022152200586132834,0.0,1.0,1.0,0.041,0.03422475983637417,0.015174256613071471,0.08398044768081234,0.07912119862955792,0.08363795382899189,0.00011145064477342394,0.07716851402711716,0.0003968666435680311,0.002937996533458264,0.0007488983020626485,315.25020936735194,5.282197301286311,309.98545123325357,2.0543164366908804,3.21760565193212,2.0473087025248935
