Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
0.0,500.0,93000.0,1000.0,50.0,50.0,0.0,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,5.0,17126.95804195804,4.24359,0.045630000000000004,63.0,27.000000000000004,0.0922815,0.0922815,2.5,3.5700000000000003,0.0,7.5,86.2
0.9,451.47511532723144,78436.4334876258,14895.772452128933,504.8012964336154,241.366994071159,17.223760209213072,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,74.47886226064466,15119.93981833996,3.5790544600403655,0.6796940969906432,938.4336644841228,402.1858562074812,0.9316764167367736,0.44547416526755323,25.24006482168077,17.233603376680755,0.0007859201783463925,62.54847934691949,77.8343098824147
1.8,491.85161124613353,65982.66953849632,25682.023869305995,1621.9534813021514,710.3785210015164,92.32165443548773,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,128.41011934652997,12805.502372392773,3.0107892110415873,1.1718707491564326,1617.9675037662776,693.4146444712619,2.9935260036956897,1.3110959097160289,81.09767406510758,50.721026399508276,0.004212637091891305,197.714274180291,84.79521777883342
2.7,664.6753351117816,55503.28398638589,33734.679880481155,3206.8885462305384,1369.5611603084938,265.5458392637461,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,168.67339940240578,10830.388927999298,2.5326148482987882,1.539313442946355,2125.2848324703127,910.8363567729913,5.918729707579469,2.5277031643001653,160.34442731152694,97.78666684602646,0.012116856645604733,389.1669126384786,114.59002777327115
3.6,989.2528586411502,46694.780732310544,39557.68558355149,5101.317260963426,2148.6607687617097,564.1172389773935,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,197.78842791775745,9152.213425450194,2.1306828448153303,1.8050171931774543,2492.1341917637437,1068.0575107558902,9.415144176351928,3.9656327746496745,255.0658630481713,153.4143788895861,0.025740669614538466,617.5647645344282,170.54719282973429
4.5,1467.7768629678374,39303.15831562597,43568.2552827016,7179.608021299081,2992.7014021344,1004.8871853298583,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,217.84127641350798,7725.978605734272,1.7934031139420132,1.988019488549674,2744.800082810201,1176.3428926329432,13.250899952350222,5.523419488821312,358.9804010649541,213.67888011239617,0.04585300226660144,867.5958722366282,253.04473117565516
5.4,2090.8184951546273,33108.646623180655,46118.33864958552,9343.063473679633,3859.2143651393294,1596.558492255131,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,230.59169324792762,6520.033797373248,1.5107475454157333,2.1043797925805876,2905.455334923888,1245.1951435388094,17.243838238927342,7.122681808732101,467.15317368398166,275.5479056709481,0.07285096400160163,1127.2670656249297,360.45710856465774
6.3,2841.521362015611,27920.5680704148,47504.54916652683,11515.41918421173,4716.050965780154,2341.5260442645813,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,237.52274583263414,5504.553409976308,1.2740155210530273,2.167632578468619,2992.78659749119,1282.6228274962245,21.253203108956697,8.704085143972826,575.7709592105865,336.726038956703,0.10684383339979285,1387.3444667101808,489.8782828114913
7.2,3698.7568613962094,23575.660586362566,47974.10309303022,13638.907871142193,5539.487720728273,3237.3971593570827,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,239.87051546515113,4651.354246333196,1.075757392555724,2.1890583241349693,3022.368494860904,1295.3007835118162,25.172377534216167,10.223844722007723,681.9453935571097,395.51942325999875,0.14772243238146368,1640.8651731506332,637.6656829047065
8.1,4639.446068325751,19935.810818773072,47730.83702926295,15670.852926425716,6312.601039948984,4278.233180131282,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,238.65418514631475,3935.175642795237,0.9096710476606154,2.1779580936452683,3007.042732843566,1288.7325997900998,28.922596286599095,11.650725857361044,783.5426463212858,450.7197142523575,0.1952157800093904,1882.715344640021,799.8405021793595
9.0,5640.220986962026,16884.95796889614,46941.5623120076,17580.754471608776,7023.888866848393,5455.551686563857,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,234.70781156003798,3334.1158185872637,0.7704606321207308,2.141943488296907,2957.3184256564787,1267.4221824242054,32.447567875435304,12.9635000093214,879.0377235804389,501.50566509297533,0.24893682345790882,2109.2698905032976,972.3740981522532
9.9,6678.57897219939,14325.962588108327,45741.954887741136,19347.848041424113,7666.124071738998,6759.130174232963,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,228.7097744387057,2829.5241453737394,0.6536936728953829,2.087205401527628,2881.7431579276918,1235.0327819690108,35.70896878069359,14.148828570523648,967.3924020712057,547.3612587221645,0.3084191098502501,2318.091007729361,1151.3870148071749
10.8,7733.6410384832025,12177.680554787736,44241.79254297547,20959.080604728504,8235.41094809189,8177.642066124998,0.05,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,221.20896271487734,2405.6648136305025,0.5556675637149644,2.0187529937359705,2787.2329302074545,1194.5283986603379,38.68270793650507,15.199521508126836,1047.9540302364253,588.008341693761,0.37314580747728365,2507.6786078774453,1333.279715034504
