Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
0.0,500.0,93000.0,1000.0,50.0,50.0,0.0,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,5.0,21599.70588235294,4.24359,0.045630000000000004,63.0,27.000000000000004,0.0922815,0.0922815,2.5,3.5700000000000003,0.0,7.5,86.2
0.9,455.65132437391577,74043.28708151799,19115.970061814292,624.0130591527085,292.13508311821414,20.100879790690435,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,95.57985030907146,19665.68754639748,3.378595189529666,0.8722617139205862,1204.3061138943003,516.1311916689859,1.1516972223640134,0.5391732734554696,31.200652957635427,20.85844493464049,0.0009172031448492046,77.00806007118156,78.55428832206307
1.8,522.6035204411525,58288.540924741996,32734.824151836518,2056.6840234501487,894.2599762381013,114.33514115016547,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,163.67412075918259,15683.951664230806,2.6597061223959773,1.4936900260483004,2062.2939215657007,883.8402520995861,3.795877734200298,1.650473039944327,102.83420117250745,63.85016230340044,0.005217112490682051,250.38140115691996,90.09684692405469
2.7,755.8161877850082,45878.42455402108,42085.64624483249,4054.727898646238,1725.5393679256001,333.4523488923808,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,210.42823122416246,12390.217901399134,2.093432512399982,1.9203680381517065,2651.395713424447,1136.3124486104773,7.483527451578456,3.1847072236245255,202.7363949323119,123.20351086988785,0.015215430679959337,491.74975826090383,130.30271077413542
3.6,1175.2694142098433,36150.53324414494,48136.66717610382,6383.440448253094,2682.700006534781,708.6037369396535,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,240.6833358805191,9780.326016676678,1.6495488319303337,2.1964761232456174,3032.610032094541,1299.6900137548034,11.781469194509357,4.951271613060788,319.1720224126547,191.54478046658338,0.03233358851655639,772.4790451520485,202.61644700977698
4.5,1777.4693477126616,28533.510713945052,51692.710895784985,8868.260660322554,3690.0393456080233,1256.0590758026349,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,258.46355447892495,7726.951126611589,1.3019840938773128,2.358738398174669,3256.640786434454,1395.7031941861947,16.367527922511115,6.810447317434536,443.4130330161277,263.46880927641286,0.057313975628874234,1071.3280333126565,306.43571554566284
5.4,2544.316096111735,22569.792291702837,53386.7461328271,11382.254342565926,4693.517427886536,1981.2093152559085,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,266.9337306641355,6115.333341370853,1.0298596222704004,2.436037226040901,3363.3650063681075,1441.442145586332,21.00743008226995,8.662496570430228,569.1127171282964,335.1171443510987,0.09040258105512711,1372.9013056509195,438.6400949696631
6.3,3449.490116556854,17898.407683757567,53709.83164662627,13835.230505929889,5655.6772581730875,2881.682833384524,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,268.5491582331314,4851.266100322633,0.8167043426098578,2.4507796180355568,3383.719393737455,1450.1654544589094,25.53471647865938,10.438287618001995,691.7615252964945,403.8153562335585,0.13149118768733584,1666.3069135016433,594.6920960944016
7.2,4462.905637927255,14236.390091872327,53039.99824433775,16165.036749275037,6551.6042618291585,3949.7238672735198,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,265.1999912216888,3859.558331225838,0.6496064798921343,2.4202151198891317,3341.5198893932784,1432.0799525971195,29.83467677556449,12.09183737375975,808.2518374637519,467.784544294602,0.1802259000636907,1944.0838880189617,769.4049319786587
8.1,5553.738761290546,11362.54419534415,51666.618735456264,18330.721214258978,7365.766862282965,5173.994721513229,0.1,0.05,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,258.33309367728134,3080.9165443811858,0.5184728916335536,2.3575478128988694,3254.996980333745,1394.9987058573192,33.8317289946728,13.594480294035309,916.5360607129489,525.9157539670038,0.23608937914264863,2201.360464540046,957.46456244649
