Time,R,L,V,E,u,T,delta,pi,p,alpha,k,beta,sigma,z,Blood,R_Death,R_Birth,R_to_L,R_to_E,L_Death,L_to_E,E_Death,V_Death,V_Creation
0.0,100000000.0,1000000.0,7000000.0,0.0,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,4000000.0,6416426.050689765,28699.999999999996,114800.0,40000.0,288000.0,0.0,26250000.0,0.0
1.0,113250557.7700865,730370.6411554584,1461178.3987695856,15165.844311687222,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,4530022.31080346,27405974.252404053,6784.650015152554,27138.600060610217,29214.825646218338,210346.744652772,242653.50898699556,5479418.995385946,4549753.293506167
2.0,141525874.99909052,531252.5796946619,973717.6703635653,11175.803825043911,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,5661034.999963621,38485790.73206034,5650.056057311462,22600.224229245847,21250.103187786477,153000.7429520626,178812.86120070258,3651441.26386337,3352741.1475131735
3.0,178433369.9162947,387361.1996383344,729987.4197231707,8451.343246435803,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,7137334.796651788,48236407.260908976,5340.418727205945,21361.67490882378,15494.447985533376,111560.0254958403,135221.49194297285,2737452.8239618903,2535402.9739307407
4.0,223826238.24919415,283490.56576598174,557789.030792002,6486.5731313871065,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,8953049.529967766,58753185.90342669,5118.760640452346,20475.042561809387,11339.62263063927,81645.28294060273,103785.1701021937,2091708.8654700075,1945971.939416132
5.0,278029078.9290329,208496.37670177076,433198.1279579279,5062.9048228890315,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,11121163.157161318,69757288.16402556,4938.108736906885,19752.43494762754,8339.85506807083,60046.95649010997,81006.4771662245,1624492.9798422295,1518871.4468667095
6.0,340918135.20590484,154335.18141324987,342881.3827419293,4030.8557871962184,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,13636725.408236194,80716153.76374684,4792.6737456492265,19170.694982596906,6173.407256529995,44448.53224701596,64493.692595139495,1285805.185282235,1209256.7361588655
7.0,411830901.1197455,115212.32932417527,277511.9451760834,3284.659649567852,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,16473236.04478982,91071509.3411606,4685.807772587753,18743.23109035101,4608.493172967011,33181.15084536248,52554.55439308563,1040669.7944103128,985397.8948703555
8.0,489606740.3380424,86959.4802511056,230528.20255345575,2750.1253871322674,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,19584269.613521695,100322207.19013384,4627.594634135602,18510.378536542412,3478.3792100442242,25044.330312318412,44002.00619411628,864480.7595754591,825037.6161396803
9.0,572685274.4644256,66585.50772679606,197394.167953356,2376.3557219496065,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,22907410.97857702,108063196.81693083,4634.8340633338275,18539.33625333531,2663.4203090718424,19176.626225317264,38021.691551193704,740228.1298250849,712906.716584882
10.0,659217464.5445329,51953.550326423305,175097.74192912452,2130.15769753384,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,26368698.581781317,113981464.0382763,4732.527068761607,18930.108275046423,2078.1420130569322,14962.622494009911,34082.52316054144,656616.5322342169,639047.3092601519
11.0,747151061.7534485,41550.57825881414,161835.428408661,1992.678049616639,0.04,200000000.0,16.0,300.0,0.2,0.288,4.31e-06,2.05e-09,3.75,0.9,1.0,29886042.47013794,117819581.59043188,4957.5359987590655,19830.143995036262,1662.0231303525654,11966.566538538471,31882.848793866226,606882.8565324788,597803.4148849917
