Time,Susceptible,Exposed,Infected,Recovered,Total_population,beta_o,k,gamma,omega,beta,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
0.0,9999999.0,0.0,1.0,0.0,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.9999999,0.0,0.097561
1.0,9999998.025190523,0.9080764674899652,0.9716296050255219,0.0951034012120264,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.9716294131471866,0.12972507991621396,0.09479315589589493
2.0,9999997.017443985,1.7272673122956566,1.0618685141843238,0.193420185611726,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.0618681974760915,0.24675222643262062,0.10359695411233681
3.0,9999995.867059259,2.571474620799111,1.2558132065132483,0.30565290968830966,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.2558126874930917,0.36735314990349865,0.12251839224063901
4.0,9999994.471280396,3.5331216482988856,1.5537713955378898,0.44182655723183994,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.5537705365012522,0.504731159311034,0.15158749112007205
5.0,9999992.720880238,4.69849070739986,1.9680315952505332,0.6125974564260421,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,1.9680301626967653,0.6712122869870218,0.19200313046423725
6.0,9999990.488876756,6.159057879273613,2.5217112307014844,0.830354130931403,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,2.5217088322708543,0.8798645314593906,0.2460206693784675
7.0,9999987.619675528,8.020891700545391,3.24915618992822,1.1102765783373794,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,3.2491521673674306,1.145840525664813,0.31699092704558707
8.0,9999983.917105729,10.413901837221905,4.19748892635043,1.4715035046450273,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,4.197482175573369,1.48769877476001,0.4095112171436743
9.0,9999979.130402219,13.501747813468125,5.429350015390966,1.9384999485803847,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,5.429338684555863,1.928819187388616,0.529692816851558
10.0,9999972.936809245,17.4936023809582,7.02683384862941,2.5427545208678057,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,7.026814831774926,2.499083555336546,0.6855449371061338
11.0,9999964.919591872,22.658643722800104,9.09683970668561,3.3249246956109135,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,9.096807794600652,3.2369458663080546,0.8874967786239548
12.0,9999954.539847255,29.34441228715141,11.778153418269069,4.33758703857184,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,11.778099874603724,4.19205470610559,1.1490884256397487
13.0,9999941.100191308,38.000319600648375,15.250708937265756,5.648780154702091,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,15.250619110881875,5.428611657189825,1.4878744146285843
14.0,9999923.69786088,49.20792063649472,19.74763809009195,7.346580391101721,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,19.747487411389066,7.029695918367727,1.9265993197074607
15.0,9999901.164028525,63.72005473950651,25.570893869688383,9.545022861808865,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,25.570641137274674,9.102855859921682,2.494721976820668
16.0,9999871.985315531,82.51139985812857,33.111525036287496,12.391759570955102,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,33.11110116014452,11.787331049532675,3.230393494065244
17.0,9999834.20213042,106.84396508799867,42.87592544138445,16.077979049085823,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,42.87521456767501,15.263408320576227,4.183018161986908
18.0,9999785.277081337,138.35183670294617,55.51983537570483,20.851246583420178,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,55.51864323759527,19.764528335872782,5.416570659089139
19.0,9999721.924632827,179.15087853122873,71.89236152419241,27.032127115265364,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,71.89036237470962,25.592957054335745,7.013890682661735
20.0,9999639.890465645,231.98081376246603,93.09300268968255,35.03571790036846,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,93.08965032189752,33.14008311166461,9.082246435408118
