Time,FITC_Dextran_single_compartment_model,Pyranine_single_compartment_model,Total_FITC_Dextran,Total_Pyranine,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,Pyranine_three_compartment_model_compartment_1,Pyranine_three_compartment_model_compartment_2,Pyranine_three_compartment_model_compartment_3,FITC_Dextran_max_uptake_rate,lambda_single_compartment_model_FITC_Dextran,Pyranine_max_uptake_rate,lambda_single_compartment_model_Pyranine,Pyranine_addition_trigger,FITC_Dextran_influx_rate,lambda_compartment_1,lambda_compartment_2,lambda_compartment_3,Pyranine_influx_rate,Dictyostelium_discoideum_AX2,FITC_Dextran_influx_rate_0,FITC_Dextran_transfer_between_endo_lysosomal_compartments_1_and_2,FITC_Dextran_transfer_between_endo_lysosomal_compartments_2_and_3,FITC_Dextran_efflux_rate,Pyranine_influx_rate_0,Pyranine_transfer_between_endo_lysosomal_compartments_1_and_2,Pyranine_transfer_between_endo_lysosomal_compartments_2_and_3,Pyranine_efflux_rate
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,9.285517767658195,-0.0,6.699986912472594,0.0,6.5775646804918875,0.12093457184973996,0.0014876601309666059,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,0.24336989317819982,0.004474579158440378,5.206810458383121e-05,0.0,0.0,0.0,0.0
2.0,18.423649483669404,-0.0,13.399795084372329,0.0,12.916206789043468,0.4720061000953353,0.011582195233526736,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,0.4778996511946083,0.017464225703527403,0.0004053768331734358,0.0,0.0,0.0,0.0
3.0,27.41673455965973,-0.0,20.09898486569177,0.0,19.02460492124192,1.0363360791710126,0.038043865278836804,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,0.703910382085951,0.038344434929327466,0.0013315352847592882,0.0,0.0,0.0,0.0
4.0,36.267075274523265,-0.0,26.79686027468195,0.0,24.911122431596304,1.7979685536658183,0.08776928941982834,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,0.9217115299690632,0.06652483648563527,0.003071925129693992,0.0,0.0,0.0,0.0
5.0,44.97693736381808,-0.0,33.49249795972701,0.0,30.58381889221315,2.7418254271604034,0.16685364035346076,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,1.1316012990118864,0.10144754080493493,0.005839877412371127,0.0,0.0,0.0,0.0
6.0,53.54855059980688,-0.0,40.18477429705918,0.0,36.050461087957125,3.853663798400835,0.28064941070121724,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,1.3338670602544136,0.14258556054083088,0.009822729374542604,0.0,0.0,0.0,0.0
7.0,61.98410936229103,-0.0,46.87239105364707,0.0,41.31853365674149,5.120034859120759,0.4338225377848258,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,1.528785745299435,0.18944128978746808,0.015183788822468906,0.0,0.0,0.0,0.0
8.0,70.28577320038339,-0.0,53.553898119683055,0.0,46.395249412879664,6.528244992141144,0.6304037146622465,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,1.7166242282765476,0.24154506470922232,0.02206413001317863,0.0,0.0,0.0,0.0
9.0,78.45566738536509,-0.0,60.227714463125466,0.0,51.28755920868879,8.066318878970606,0.8738363754660705,0.0,0.0,0.0,585.0,0.016,578.0,0.01,0.0,6.7,0.037,0.037,0.035,5.3,1.0,6.7,1.8976396907214852,0.2984537985219124,0.03058427314131247,0.0,0.0,0.0,0.0
