Time,Normal_cells,Tumor_cells,r,beta1,gamma,alpha1,alpha2,beta2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth
0.0,1.0,1.0,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.431198710712,0.9314,1.45466
0.3,0.8062018526824081,1.4796126203721325,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.34763340088918576,1.1110357983006605,1.6857285838153002
0.6,0.5659932706679338,1.9694486293449975,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.24405588529068778,1.0382266166955623,1.510471408736806
0.8999999999999999,0.35084046804063973,2.3560206158576777,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.15128225112190938,0.7698834816160539,1.042950273360856
1.2,0.19926112861816686,2.5954253479846088,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0859213474689769,0.48168970153547586,0.57111635168023
1.5,0.10776363361028814,2.713809746396091,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.04646766384025376,0.2723879292536294,0.24502678615315615
1.7999999999999998,0.0570377688806064,2.7568348110453043,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.024594681746867707,0.14645678850831562,0.061625116546629444
2.1,0.030014338835528214,2.760063737588418,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.012942181744411089,0.07715856213521757,-0.028571169057756446
2.4,0.01582638088541311,2.7447824138928443,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0068243351148565825,0.04045998985546393,-0.06729418464115605
2.6999999999999997,0.008390856344832583,2.722255350064794,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0036181371651175928,0.02127508870100831,-0.07995405492060983
3.0,0.004478215685734761,2.6980278626291048,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0019310065778329118,0.0112535014372998,-0.08022263847443097
3.3,0.0024060698082100937,2.6746548196946702,0.4312,2.99e-06,0.9314,0.4426,0.4,1.1891,1.0,0.0010374972938362826,0.005993937343110063,-0.07505036401545646
